	use_training_form	n_task	aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	Model	accuracy
188	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	67.274
189	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	73.636
190	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	72.726
191	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	67.274
192	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	87.18200000000002
193	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	87.0
194	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	79.09099999999998
195	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	77.728
196	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	74.092
197	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	78.18199999999999
198	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	77.728
199	stump_with_memoization	3	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	74.092
200	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	79.635
201	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	79.999
202	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	72.273
203	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	70.455
204	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	66.81799999999998
205	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	71.36299999999999
206	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	69.09199999999998
207	stump_with_memoization	3	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	66.81799999999998
208	stump_with_memoization	3	1	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	86.36499999999998
209	stump_with_memoization	3	1	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	85.638
210	stump_with_memoization	3	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	80.908
