index,attributenames,attributeabbrs,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
10,Exhaust_temperature_2,EX_T2,Exhaust_temperature_2,EX_T2,0.05602419481459689,0.05705573031773924,0.05503201616924969,0.040356732836260074,0.04058006931539106,0.0400232795596113,0.04058224593430604,0.0394900084029519,0.0,0.03853920527410422,0.0,0.04071217251132093,NaN,0.04104792486675414,0.04035588218788999,0.0,0.04023583731865304,0.04003423123277925,2.6257284150441375e-26,0.04104363570100189,0.0410613282132489,0.0,0.0,0.04093481628123469,0.0,0.03054622128904555
11,Exhaust_temperature_3,EX_T3,Exhaust_temperature_8,EX_T8,0.055203644708076295,0.055867636345451055,0.0547657421740917,0.03954623756199241,0.03944337687429472,0.040022312313884166,0.03758167768580849,0.03762215330659986,0.0,0.03596454994539656,0.0,0.045071445418857756,NaN,0.04435228692930441,0.0392830204784279,0.0,0.03867624908070168,0.040028840269775205,2.6257284150441375e-26,0.039959812858255436,0.037457565378852246,0.0,0.0,0.039697427182605764,0.0,0.030022665771348985
12,Exhaust_temperature_4,EX_T4,Exhaust_temperature_1,EX_T1,0.04628321968525212,0.04933716800021298,0.04365823533024124,0.04017859420559217,0.039661750986679976,0.0400215993156056,0.03926805687245465,0.03882764743109688,0.0,0.03690572915446719,0.0,0.04199630294356539,NaN,0.04085180590718978,0.03950629177842049,0.0,0.03762697293921129,0.04002626919511101,2.6257284150441375e-26,0.040824529820523106,0.040622801838182225,0.0,0.0,0.04058754566802983,0.0,0.029007688377993165
13,Exhaust_temperature_5,EX_T5,Exhaust_temperature_11,EX_T11,0.04315806541691977,0.04443753304059886,0.04293377209669693,0.04045893661422449,0.04127748576002077,0.0400244734171939,0.03853162508604421,0.03803479904301075,0.0,0.0365242831321705,0.0,0.044689666365105726,NaN,0.042353315726176975,0.03998348924830516,0.0,0.03966024519805261,0.04003352349609771,2.6257284150441375e-26,0.04041945444272402,0.038840468167921915,0.0,0.0,0.040374388697258984,0.0,0.028822313539521804
14,Exhaust_temperature_6,EX_T6,Exhaust_temperature_9,EX_T9,0.04403793937855622,0.04541978556795664,0.04331431095134456,0.03982420761291675,0.04011158177712756,0.04002443472736478,0.03750830302344713,0.03671354460676969,0.0,0.03597415293100143,0.0,0.047021748864372506,NaN,0.044636266345867516,0.03944696147743045,0.0,0.03879092309841586,0.040031134884796885,2.6257284150441375e-26,0.03972547140184658,0.03753837509971322,0.0,0.0,0.03966505205328534,0.0,0.028741008075092212
15,Exhaust_temperature_7,EX_T7,Exhaust_temperature_16,EX_T16,0.04196580174236534,0.04382007712301262,0.040713075108435644,0.03968094133145111,0.03971672955588751,0.040023727256205066,0.038969395015025374,0.03877908207214486,0.0,0.03776128075757875,0.0,0.043375401186426354,NaN,0.04202411867594092,0.03976212102895043,0.0,0.040657675835409454,0.040037106413048355,2.6257284150441375e-26,0.04065731354982318,0.03995570502230814,0.0,0.0,0.04058576356270833,0.0,0.028686888134863395
16,Exhaust_temperature_8,EX_T8,Exhaust_temperature_13,EX_T13,0.03995770573335371,0.04135421211194183,0.039647541865760486,0.03961784047393919,0.03924970909052575,0.04002310821893947,0.03918764194462556,0.03842655871706567,0.0,0.038623021738866656,0.0,0.043919604355493594,NaN,0.04253778880275387,0.03959836211482344,0.0,0.03640113978168556,0.0400360890415685,2.6257284150441375e-26,0.04057357186876891,0.03805373369041587,0.0,0.0,0.040562534261131655,0.0,0.028240423492152486
17,Exhaust_temperature_9,EX_T9,Exhaust_temperature_14,EX_T14,0.03861647876431674,0.03943732715571566,0.03884372397271918,0.040598839353821435,0.03938869692403459,0.04002452316125995,0.038969761262217975,0.0387979808218552,0.0,0.038156042604933965,0.0,0.044344211604628855,NaN,0.0427707068132407,0.03975404468365201,0.0,0.03637030994816551,0.040034894735917786,2.6257284150441375e-26,0.04052547836668142,0.03841097227265188,0.0,0.0,0.040574575614922295,0.0,0.0281507736691973
18,Exhaust_temperature_10,EX_T10,Rotational_speed,SPEED,0.0008434104278800704,0.0009561296777566407,0.0009879939492812115,0.037713544488373614,0.05437853113476991,0.0400173600157628,0.03916448517780314,0.03992662092624436,0.0,0.043807338605798773,0.0,0.047829229990780514,NaN,0.048450581428437924,0.04248019594964085,0.0,0.11656605135697042,0.04002401328443879,2.6257284150441375e-26,0.036741094283051404,0.040188804366616405,0.0,0.0,0.036954698491829696,0.0,0.02779292014814319
19,Exhaust_temperature_11,EX_T11,Exhaust_temperature_15,EX_T15,0.03717906870615539,0.03965736749833115,0.03557278578642474,0.040161851779550894,0.03916479398547277,0.04002397044941627,0.038927460632227254,0.038720234742288216,0.0,0.03701074515817692,0.0,0.04302331244579895,NaN,0.04333894589253677,0.03960666166093825,0.0,0.03387842324086771,0.04003686865775653,2.6257284150441375e-26,0.0405404809479779,0.03790619292537362,0.0,0.0,0.04049644343208131,0.0,0.027718566997557287
20,Exhaust_temperature_12,EX_T12,Ambient_air_temperature,AMB_T,0.009118577382428734,0.00833165371123674,0.009361733601828515,0.03546502712464565,0.030450729773793348,0.03961259255111448,0.04642094156462489,0.04618451681071886,0.0,0.051978964886425,0.0,0.021800125961072298,NaN,0.021888644741935893,0.03829057567331749,0.0,0.026700741889036202,0.03933879700522332,0.1250058077405563,0.03170977406464909,0.0378431608072407,0.0,0.0,0.032075668748914446,0.0,0.02714908475161508
21,Exhaust_temperature_13,EX_T13,Compr_IGV_position,IGV_P,0.019353862974848767,0.017939106053456416,0.020483851294500678,0.040707199395817836,0.04038740004993929,0.0400215993156056,0.04052983727176727,0.04089633981486879,0.0,0.041546723348771464,0.0,0.03719339887322726,NaN,0.039048885600191846,0.040052687374823516,0.0,0.038366306110770645,0.04003237895318282,2.6257284150441375e-26,0.041151716797091314,0.042378412160520226,0.0,0.0,0.04113955450932773,0.0,0.02588455249577964
22,Exhaust_temperature_14,EX_T14,Gas_fuel_valve_position,GAS_P,0.001733129021542071,0.001757613307795154,0.0016972633884331707,0.040628629183696204,0.04085266259359809,0.040022085702028434,0.040190239355742154,0.03971909557575236,0.0,0.03893747259836899,0.0,0.040793081053546315,NaN,0.04019000431999254,0.039842238374312215,0.0,0.0382254321218676,0.04003197532210653,2.6257284150441375e-26,0.041043635701001904,0.04043626578503413,0.0,0.0,0.04097840082804872,0.0,0.023628301009702774
23,Exhaust_temperature_15,EX_T15,Compressor_outlet_pressure,IGV_T,3.0716682948643956e-6,2.934109001927694e-6,3.144343615603683e-6,0.04044765297446949,0.041746011733697116,0.040022312313884166,0.04026091163161557,0.040521660544944695,0.0,0.04034609028877708,0.0,0.03672658129940994,NaN,0.03887561386037604,0.04039859577553464,0.0,0.036915681114370866,0.040029321309550725,2.6257284150441375e-26,0.04115021653896128,0.041642932681270464,0.0,0.0,0.04125280456434363,0.0,0.023347730698004925
24,Exhaust_temperature_16,EX_T16,Gas_fuel_mass_flow_rate,GAS_F,5.071213411797757e-6,5.0711239151020565e-6,4.996214338365336e-6,0.041165489431823805,0.03933170510698341,0.04001333074642044,0.04083102527073268,0.04178590505986008,0.0,0.04035700438311761,0.0,0.035957039601967326,NaN,0.03808830308251632,0.040558413433155506,0.0,0.03488275178690274,0.0400375487484739,2.6257284150441375e-26,0.04113589589317851,0.04021263559380058,0.0,0.0,0.041214938025759665,0.0,0.023149463529848244
