index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB20normsorted,EEGB11normsorted,EEGB10normsorted,EEGB24normsorted,EEGB33normsorted,EEGB19normsorted,EEGB34normsorted,EEGB42normsorted,EEGB25normsorted,EEGB23normsorted,EEGB22normsorted,EEGB17normsorted,EEGB12normsorted,EEGB27normsorted,EEGB26normsorted,EEGB15normsorted,meannormsorted
10,CO_HistogramAMI_even_2_5,AI,0.01830457316188295,0.01982932926350968,0.019300388861258875,0.01891004498379037,0.018147107840666196,0.01591115459632962,0.014697569840509375,0.014975611861943352,0.015482269035485134,0.014462349944655015,0.017979218758196015,0.015134319133742946,0.015029765971583692,0.01592718459088615,0.015271129159596452,0.013404275638283109,0.01658185377075477,0.013999549700843474,0.01576905537297942,0.012660851180596514,0.016540502133772807,0.015488868750542388,0.014665156932313765,0.014711571033162405,0.01470764851951382,0.01591565400147193
11,FC_LocalSimple_mean1_tauresrat,CC,0.01550863159726542,0.01346027793853842,0.011744970451520034,0.01540041393775824,0.016865248834956693,0.011502628436872157,0.010619012021760016,0.009595014871008584,0.013172412805275861,0.016522043820184244,0.010373621649496224,0.01370665895218981,0.011279798283002112,0.011847106522042175,0.016833654143281796,0.01147103823127942,0.011709518805617998,0.013061728647735108,0.01197258244683503,0.013284689952163234,0.014023770106406675,0.01055613666213088,0.011945263693054226,0.010265892511274192,0.017367323510714638,0.012963577553294527
12,DN_OutlierInclude_n_001_mdrmd,B,0.00651206958416277,0.006049860842193581,0.006164302865456576,0.006677177761043595,0.007083218316176018,0.008920560110511016,0.009405692834071,0.010386977494359032,0.010875938551087691,0.012336801511161335,0.011578784765317108,0.011940025864291413,0.012857677051166768,0.010630739767829548,0.012870047672879864,0.009600591104616505,0.009350313110108506,0.010944428662414577,0.012625430040031398,0.01297895336213955,0.01087538869420757,0.010455819958344886,0.012037093105310917,0.01236234847928702,0.011748167212441565,0.010290736348824391
13,CO_Embed2_Dist_tau_d_expfit_meandiff,EF,0.009531397361029675,0.008265800318766309,0.008182032151580644,0.009260876177574873,0.008083813088385084,0.007459496061253139,0.007691841288292914,0.00720858117189316,0.007506446294358907,0.007267686665466507,0.0072040743710125,0.007831261697948757,0.0069670410512454725,0.006923341435441816,0.007663933821484459,0.007236178753655646,0.007097051967635279,0.006438827417401309,0.00725649726664593,0.007047302372158747,0.006822023686163838,0.007016834688520883,0.0071971890322413655,0.006991269286488133,0.007567683757188347,0.007508739247353347
14,CO_f1ecac,FC,0.0032198566277249086,0.004604899268651542,0.002290943885301731,0.0032636890503494375,0.0006726597175322988,0.002341803258861381,0.0023151354118931314,0.002941319071992602,0.001208601747889085,0.005865492405068906,0.00580701600098715,0.0030593557239634076,0.004588483969231515,0.005769609203882051,0.0053064561490869105,0.004415289886752255,0.004615130025519769,0.0027392255494919087,0.00354649741370752,0.003395569472179041,0.0052293757653159,0.005745745271792782,0.003433335760452556,0.004492336490315526,0.0035773275363795752,0.0037778061865729163
15,MD_hrv_classic_pnn40,PD,0.005940285002185269,0.005823987480576172,0.004915983753876637,0.005811154204467011,0.002789122198939177,0.0020704566733893838,0.0023511061780364865,0.002236108743644095,0.0017493251340540486,0.0016155680388961514,0.0015161122807809842,0.0015063437929006254,0.0019258777004479298,0.002609112883078194,0.0014350351267019396,0.002134096427392593,0.002532187900137009,0.0017712110968324806,0.0018362191865005685,0.001911615578797772,0.0013856418363379257,0.0016744504752826343,0.0018605363531429752,0.0017203276726787495,0.001604885341249828,0.0025090700424130656
16,SB_MotifThree_quantile_hh,EN,0.0017601864254415513,0.0017711628887778095,0.001804014177103228,0.0019383337648123107,0.0021429656013166294,0.0017531414494274529,0.0013749793775557813,0.001405395790947238,0.0015293474477358353,0.0016079509911029809,0.0017995798482580852,0.0015747519393332918,0.0015542710623137098,0.001528070516817594,0.0014411717729737612,0.00191742213428245,0.0017174360505599754,0.001508132802669612,0.0015835526490201265,0.0015161615547266913,0.0016885495772186263,0.001780592201327626,0.001965396181746011,0.0016225034265603645,0.001375932328546639,0.001666440078423015
17,SB_TransitionMatrix_3ac_sumdiagcov,TC,0.0005179428771214402,0.0004955966252133992,0.0003763933498537631,0.0005203100316601125,0.00030468245675013475,0.00024962744184999543,0.00026899513140613853,0.0002473925718515177,0.0003185911610973957,0.00032351266058721294,0.0003141201804789442,0.0003318487682320957,0.0003170837223991052,0.00028661374419433486,0.0003211757421312467,0.0002559703175304802,0.0002795441221484651,0.0002641607089504338,0.00035421590576425517,0.00027864480747380525,0.0002758652943079401,0.00025037462119775923,0.00026088774700698823,0.00023283001438328363,0.000292362357442684,0.00031754969444131725
18,max_m,MAX,2.544323471595347e-7,1.6585002589555412e-7,8.816593020935312e-8,7.551883097200676e-8,4.241784746054659e-8,2.380100951482428e-8,1.727523479364663e-8,1.4465207784597211e-8,1.1288608903450144e-8,1.705767035474117e-9,4.457087351083223e-9,7.725236177415563e-9,7.620113787120975e-10,6.051380816164676e-11,1.7047458996617177e-9,2.8578851925027147e-11,6.000995219964645e-12,5.55397324972691e-10,9.548675612360954e-10,1.122467226655548e-9,2.308885272875026e-9,2.5878569460188575e-9,2.636450727415682e-10,4.299992198057784e-10,2.1397567851124996e-9,2.8801114384023405e-8
19,mean_m,M,9.848130475800637e-8,6.77574733571541e-8,3.965905433979496e-8,2.830649769063527e-8,2.020614046186582e-8,1.1226973196527676e-8,7.76353997301992e-9,6.418656155206615e-9,4.652042416708176e-9,6.139670073305922e-10,1.9152349052557994e-9,3.2103876466525975e-9,3.243913127960292e-10,3.022335984126597e-11,6.135994637646898e-10,1.141885315539376e-11,6.000995219964645e-12,1.8954821768461612e-10,3.144829714200478e-10,4.2843340575107907e-10,9.915998079331122e-10,1.0978716183573748e-9,1.1717558788514312e-10,1.4525866769332202e-10,8.842028979833674e-10,1.1814619162705728e-8
20,min_m,MIN,5.71492443300314e-8,3.9229032212841126e-8,2.061644719664486e-8,1.5813490215530073e-8,9.598779842145224e-9,5.072372171089902e-9,3.449421699933548e-9,2.5468831991518297e-9,1.5815225316544314e-9,1.2290252690621176e-10,5.411666248826906e-10,9.878780624147077e-10,6.516833913197391e-11,6.071507359899138e-12,1.7821104176991544e-10,0.0,0.0,2.788748271290645e-11,6.058599748417066e-11,7.527488763608974e-11,2.0568206285674262e-10,3.1280906235504057e-10,2.929389697128578e-11,2.907755156447058e-11,1.771386902247069e-10,6.3150536453317305e-9
21,SP_Summaries_welch_rect_area_5_1,TP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,FDFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,FLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,PD_PeriodicityWang_th0_01,PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
