Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
4	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	21.43	60.71	60.71	60.71	60.71	60.71	60.71	15	0.7107142857142857	0.6008928571428571	100.037	b51b783608a2b69aba59d7a8e5ef675ca96bfcfc441789b805ecf8775e2f395d	21.43	60.71	60.71	60.71	60.71	60.71	60.71	13	0.7107142857142857	0.6008928571428571	47.209	e455d4642f025bd8d60c561eac917b52474c89d0afc4b70396b3bfd451fc6625	17.86	58.93	60.71	57.14	58.62	59.26	59.65	15	0.7107142857142857	0.6008928571428571	46.909	a20c3cc67d5fb3efdb400508a2a1ae0a9bc400813c739704cd0277e947376f5f	21.43	60.71	60.71	60.71	60.71	60.71	60.71	13	0.7107142857142857	0.6008928571428571	47.082	e455d4642f025bd8d60c561eac917b52474c89d0afc4b70396b3bfd451fc6625	38.57	69.29	70.71	67.86	69.0	69.89	69.72	0.0	139640.0	0.002168367346938777	0.0005420918367346942	0.001530612244897958	0.004464285714285718	0.0013072910406358178	0.00034526252887558123	0.000320997134293801	0.0	26.800000000000004	0.0	("dbe1d71a4a221ee2986be438550023a58e53c8f26e114ec0164d5c603a23d213", "e8b9bf9dd2ba11d3acfa326408da3ae28d268678204e7602816c09962cd50564", "a422cbc211dd80d79439b88402d6a40db2dcb9891b33d6ce5c2aff8a08b6747e", "38d1545619eba09530c33caae77744ecaa4fa5092e7d10de796387ef45a5fe43", "0d07fc3f531123901e410ac6ce04ca10424af41efff6f5165f6ded9f9113855d")	34.29	67.14	70.0	64.29	66.35	68.23	68.04	26.46	277600.0	0.0029336734693877547	0.0007334183673469387	0.001658163265306121	0.0031887755102040847	0.0010614118925807246	0.0007117591352592163	0.000651197679447234	0.00021928107134466213	552.0	3322.564	("27fd7865a70352340791294bb36003516fc60d45e7e61f9d87706448d8547f67", "a95635b319f14e2d91019fd1caae9727c2fb7fdd651de26b52db94ffe168331f", "3771f146756c9ac524a1dcc4d9dd6b6c988fdecdd26e9d272dbef75bd3d57aed", "320bbd40b6d52d303d99f52a7858fb2446685d84a2d6febd3d1d16f56c7f8396", "771aa09819da8ed2ce5f33d79e4d5966c3f2d33fabcd209c8e6188f6975ca722")	
5	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	28.57	64.29	64.29	64.29	64.29	64.29	64.29	19	0.6152255639097745	0.5634868421052632	51.798	e7adc94ebb45672e70c538c7aa1acbb7cb345231ced98acc01d9da58f2cb4d63	21.43	60.71	64.29	57.14	60.0	61.54	62.07	15	0.6152255639097745	0.5634868421052632	27.533	c9d6b064f083eb804062c54e84bf34f8f7c1fe33063957c47028deae43d97ef1	25.0	62.5	60.71	64.29	62.96	62.07	61.82	19	0.6152255639097745	0.5634868421052632	28.079	a80837b2bb55760a0f637eeae4054729d9aa0f84f59168ba44c3b4e8c99a5e0b	21.43	60.71	64.29	57.14	60.0	61.54	62.07	15	0.6152255639097745	0.5634868421052632	27.514	c9d6b064f083eb804062c54e84bf34f8f7c1fe33063957c47028deae43d97ef1	37.14	68.57	64.29	72.86	70.37	67.12	67.16	0.0	138680.0	0.0010204081632653043	0.0002551020408163261	0.0006377551020408177	0.0010204081632653051	0.0004975510204081616	0.00021209836692221104	0.0002823468297963544	0.0	705.1999999999999	0.0	("78d46353207b0632c9f4d5ed3debeb0718497d8b18a5eefeb8707ba6cb7fb286", "6a9ededbb48d7754e7077ade8fae951d2e3d1f7c5abb35248e4fdb5386194b87", "563cffbf1ede62da6aab8f08aa0ea75fcce3ea45938dfda5312189f9c0e07d4c", "ea81e06f3ede70de7a0d385c772c18d84c734d1e3dbcc75a5bf82e3fa8cdb3e5", "af927eee567804d1d2276ad30c03cbbbecf658eef9d63630796d1f007cdf279e")	42.14	71.07	70.0	72.14	71.55	70.75	70.7	26.11	277760.0	0.0021683673469387785	0.0005420918367346946	0.002295918367346937	0.000892857142857142	0.00043226337448559683	0.0009723570142113199	0.0008577148983824545	0.00030346933980734535	1336.8	2961.994	("90893f49d62e1f48ba2521c8fe61f93ca41e40fab22002d9b49134af149a8ee1", "b8a86cd22ce98008407e6b32675b836cb52b03d5fce6718c4251083861d4efde", "b8250270a87e23a56b234e43949e465a958377718ef9c4248d3aefea656e48e2", "48afaf1f7b783fbe916d1e427f817e5859be04182a4d69dafa13040736453782", "f281ebb8de56e86703bca22b7fdd219583fb7ac68dc4fbf85fda49b88a0727b8")	
6	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	35.71	67.86	67.86	67.86	67.86	67.86	67.86	23	0.7107142857142857	0.628125	8.826	cc565e0b272034e14194bf447432f418bea58a8a95e57ae10a381271095d41a8	32.14	66.07	60.71	71.43	68.0	64.52	64.15	11	0.7114285714285715	0.645	6.511	628478b76ba139d1ec418ef0512ac48e802d0d6aec2c9892ad93a369a8324f1c	35.71	67.86	67.86	67.86	67.86	67.86	67.86	23	0.7107142857142857	0.628125	8.016	cc565e0b272034e14194bf447432f418bea58a8a95e57ae10a381271095d41a8	32.14	66.07	60.71	71.43	68.0	64.52	64.15	11	0.7114285714285715	0.645	6.635	628478b76ba139d1ec418ef0512ac48e802d0d6aec2c9892ad93a369a8324f1c	49.29	74.64	81.43	67.86	71.99	78.86	76.23	0.0	141480.0	0.003443877551020415	0.0008609693877551038	0.0034438775510204096	0.00573979591836735	0.0017666054484236316	0.002224098748333489	0.0006647277129217323	0.0	751.1999999999999	0.0	("7f3d1c94b058dfc1365e3f74b910d0fdcf349372923d4f80eff79185a628fbe9", "f912b536404f392e10fe4313572746d8a2a74a19218c1ce48171ac862b859a8f", "3d45257f701b4db674f63198275c1fe6bef294c87d0b2683413c9e8d70ef2380", "2842275a5e07a7169884ade6dff33646e480cc46e9ce48b8a1d41f2457b9ef92", "5f8bd71e5db850bae35fb3f528bb2272698ad8df9036bd2387e3142bf56ae7d7")	48.57	74.29	81.43	67.14	71.33	78.58	75.96	26.99	281640.0	0.0029336734693877547	0.0007334183673469387	0.0028061224489795934	0.0021683673469387738	0.0007574044749158776	0.0021605360183724167	0.0007594268532861006	0.00051883467773514	786.8	2712.094	("a045ba6096f896169fb9b1040524c56d25c9cc9bf396becfca6534b2b176da7d", "522930c43288b375ca36e14350370e43cab53e4f4d85255da66b0e83a8ce0f6f", "85e415be3bcf516d32c860aad8418f4254f3f7c00076d54b5ebbd12bbb5d3b6a", "313df03d148739c7bd975c3fbbae81c793bccd6405ab8ba3c4338ba3d7758613", "46868e86b7ce5daf5c0f300f0b8236c6f6a178cef730b5431cd50ae65f3c4abe")	
7	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	17.86	58.93	57.14	60.71	59.26	58.62	58.18	27	0.6880952380952382	0.5976973684210526	11.596	8f464d0e2024f650abae7c7e2464939427c7f80b97f21d355c4ce3ea3122c9c2	32.14	66.07	67.86	64.29	65.52	66.67	66.67	5	0.6314285714285713	0.6071120689655173	5.206	7dc0f079d28f2c36c0d02ebb2da7ac9673b9abed6ee6032136cd5e4e45bcd9c2	21.43	60.71	53.57	67.86	62.5	59.38	57.69	27	0.6880952380952382	0.5976973684210526	9.36	f30978dd7137344032f84192d113b950bdf5bde65f9f41749a0d5a16704d6fb4	32.14	66.07	67.86	64.29	65.52	66.67	66.67	5	0.6314285714285713	0.6071120689655173	5.171	7dc0f079d28f2c36c0d02ebb2da7ac9673b9abed6ee6032136cd5e4e45bcd9c2	53.57	76.79	82.86	70.71	74.15	80.49	78.17	0.0	141320.0	0.00510204081632653	0.0012755102040816323	0.0008928571428571421	0.005357142857142852	0.0022865683711703762	0.0007295988517094917	0.0007914613212382283	0.0	169.2	0.0	("5e20613b6397a581a3cbbdd865c65e71a09b0ae3d3c3d04db334586af6df11cd", "e656d750631e4042d2f61e7a3e2e6686583a0c4c8afacfeaf062d4b9c1a027d6", "82c368f796fa67235f14a200ebe2b92beef18d297b8c7982823a15c5380d6d3a", "b39c6705c6cb8334deef9a5b543cbf3d32df53c82f60d7383565c90053502082", "059540eda765153c74d233134fe3762727d08a28d56afe7e03fcd9d582835f76")	48.57	74.29	82.86	65.71	71.05	79.23	76.4	27.08	283960.0	0.005484693877551024	0.001371173469387756	0.00025510204081632634	0.007397959183673472	0.0022986342389876508	0.00017192331067202783	0.0005596098120260512	0.00026822773905552593	470.8	2649.881	("57e82fbe55e53c030551a396febd740712969000e15ddafbd375a5a44d5114d5", "43cb4a36f58fb7b4a9c82d610d3db40d59a3c36b5b03fad51a6d9a015033baff", "ad9ff87bbe85ec6f86ccc5b89229551273b44cdf6c843562b3922601f4979ed4", "108ecf5cdefae9505797e168bc8a59f3bf99bb5698912e38983c8b88c277f7e3", "21acf7dfad9d303d956f9426b1242a4861d8eff68ea171a548c4990697568bf9")	
8	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	35.71	67.86	60.71	75.0	70.83	65.62	65.38	25	0.7071428571428572	0.628125	51.676	4c4db02de12395defb793367cad0cfe1de5f46f87e5b67060f3222a0cc289995	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	27.045	61c4e911cc955faef715d6a1a6ef47f6b3d00952e3e95f22e229f39353b3c0a8	35.71	67.86	60.71	75.0	70.83	65.62	65.38	25	0.7071428571428572	0.628125	40.656	cd015551fd7c49eb595e1e9cdfb43e44bd0d5be6975189dac3d335a87563b6cd	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	26.117	61c4e911cc955faef715d6a1a6ef47f6b3d00952e3e95f22e229f39353b3c0a8	30.0	65.0	52.14	77.86	70.13	61.98	59.78	0.0	142280.0	0.0022959183673469394	0.000573979591836735	0.0016581632653061209	0.00025510204081632634	0.0006258370506310941	0.0004810658848681054	0.0012208798016670665	0.0	285.2	0.0	("500c965e2f2e6967fc4f533cecaecdf45748d9440613203fb66ed96ffe4dd223", "f0bcba777cec5cbd02f2b6211f534e96640cc757767e5e724ea1675366a1c6c4", "12bb60f286dca12377912176d6414869f5fa126e086a65fc7f380d15b7fd2197", "756732db58480b07bdf8a3d00896f1696b0b27ed1280b37ede53cad30e966000", "d15d844fe441e7e052428b5a70f79a9e72b201cdcd2eefda5cc61f918030c07f")	25.0	62.5	49.29	75.71	67.03	59.89	56.77	28.58	284080.0	0.001913265306122451	0.0004783163265306128	0.0008928571428571421	0.0008928571428571422	0.0009263033876661252	0.00031404655991501795	0.0007364178261111761	0.0006715482809930301	549.2	2604.733	("7073b13a17fc499e45d0ef3864a0e2e9377fdc7648700635db3412423b96081e", "8f6f5beaaf89926526cf00dd04a0e222ff3b9df25a9244322dfc9ad4ed5eb370", "447efd4319b7e71a117e8f0a06f88a8f504a01c34545c0c23207aee681e2e1ff", "16eacfa9c66409f6f82ff4769a245c80a3b7869300ad8af632a5ef4956fe70c4", "1d8b82ff1844a8b7894046b8035bc90e1e5f84a6ac8775fd30149a438e233481")	
9	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	3.57	51.79	53.57	50.0	51.72	51.85	52.63	21	-Inf	-Inf	8.181	8a6b12040a82cfcde429afd8731ebcfa6bd8eb986d97f667b12e1a8d42ab5427	14.29	57.14	50.0	64.29	58.33	56.25	53.85	7	-Inf	-Inf	5.84	0b7d7c473538e221ea5438286798b9fc0ec8e1006d33ec3a39adda48b70ee300	3.57	51.79	57.14	46.43	51.61	52.0	54.24	19	-Inf	-Inf	7.087	5df299b2a753ba4e8c103359c3fe861fdd32011d962cbb00b738970db3253156	14.29	57.14	50.0	64.29	58.33	56.25	53.85	7	-Inf	-Inf	5.838	0b7d7c473538e221ea5438286798b9fc0ec8e1006d33ec3a39adda48b70ee300	32.14	66.07	60.0	72.14	68.22	64.51	63.73	0.0	137040.0	0.004464285714285714	0.0011160714285714285	0.004719387755102044	0.0008928571428571422	0.0007719132149901378	0.0013883704363147277	0.0023859762641916644	0.0	122.80000000000001	0.0	("4fee0058658be75af1bb3f7a88c2985b6f1da7862c3e7c7b3bed1ac58abe20c4", "d9d459c8e2fa6e15565177f9803393e249fec4174e749eb542dc330607690ac0", "2d4b63daec8395c314a1ecc576c663ee717e382b7f72acbd2b2eb2bd73177d1b", "10a9299deb966c1d1970bd3c1c787293c9f6883700216735b220f036ffb642ad", "74c09ca25033b5a7f4b84153680b6ac5dd398871c7e972b943d82f89edca727b")	31.43	65.71	56.43	75.0	69.27	63.35	62.11	25.31	274440.0	0.002168367346938777	0.0005420918367346942	0.0028061224489795934	0.0006377551020408157	0.0005000704155991224	0.0006664061184350581	0.001346581613037372	5.2862401127730556e-5	234.8	2659.474	("169a50d2804258f3e92646a54ba0a932d86c4d39088a6690425a96331037aa10", "c9b1984bf53b40c23fc7c4483e610dd090c350cf3d54538562958ee35b0833a4", "a34351462be75af43b190dcea7b1af003bb86fc05e7964b4a43b06282f6f8f36", "f96d9de5b166b6993dc02a47d74af6e5cc0bf022ed6b884018a6226edf36d269", "62022ef326c22756c1dea2ca07165ffa37f2f278e17f334f2a529838df40d265")	
10	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	21.43	60.71	64.29	57.14	60.0	61.54	62.07	23	0.6880952380952382	0.6104166666666667	10.697	be4511fd002d9e1c1ee689ab45c70535058b47e34e16eac3e1c652dca86f72ee	39.29	69.64	67.86	71.43	70.37	68.97	69.09	5	0.6774725274725275	0.6375	5.125	66b028a3856ff24cf124bf346f0b510ac2a4aaa2d9f2891b1951331f7ecc9df6	42.86	71.43	75.0	67.86	70.0	73.08	72.41	23	0.8214285714285715	0.6875	9.84	146e25d863f3eb02c39ab48e2e3b3fbfb9199c22375cc14249da5eb4889c9029	39.29	69.64	67.86	71.43	70.37	68.97	69.09	5	0.6774725274725275	0.6375	5.1	66b028a3856ff24cf124bf346f0b510ac2a4aaa2d9f2891b1951331f7ecc9df6	43.57	71.79	67.14	76.43	74.39	69.83	70.48	0.0	141880.0	0.010459183673469385	0.002614795918367346	0.0015306122448979615	0.006760204081632647	0.004897488715259457	0.001465711805555556	0.002219340752104286	0.0	233.2	0.0	("cbe5e86ab0f7912bad21df8871de9bcc993d6075dc97701c94e397228f7866f9", "86de2e898ea3b8ee6a6b2da3625364c3b0dbf775665c8f568a48e39188befb6f", "8aac04ddd446f8e23ead0c26c35f854825d914fe84ce9754dcd22f8d5aafb68d", "2fd9ba9b446586eca2fbcc4e3a7721e8fb98aade7980ff9242ca4aac351a01a9", "a210324a4774936a912ec197997270667494b03bfdc9866521adac9dcf196883")	47.14	73.57	67.14	80.0	77.32	70.86	71.79	27.26	285600.0	0.0021683673469387772	0.0005420918367346943	0.00025510204081632634	0.002933673469387752	0.0021488417651326984	0.0001262828926313185	0.00028701431911973524	3.5241600751820926e-5	928.0	2673.068	("6b226447d532f1807bc2998d62855ec10983f7849342b337283dfd7932e7c87f", "380c54b43fd7b4c7edf26841bc7ca16b81fc51e79ddaebe3c084220d5780ab3d", "c473fd90409695ebb3d54e8f6d1ee56dcf24fe70b9aae854a9af926f9977bbd0", "5a785be49da3734f49934a55a475988f368be709977f58f06af4fb54f0d0710e", "61fa768b8548027a0872a3309a1bd63d8721335bd785cfa68713eba3539ea5a0")	
1	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	35.71	67.86	75.0	60.71	65.62	70.83	70.0	17	0.7107142857142857	0.6008928571428571	78.912	05d9e0ecbc48773812fa3a87a25311ebd39b798afcc53e37bbd05e2d3a9d3e11	32.14	66.07	67.86	64.29	65.52	66.67	66.67	13	0.7107142857142857	0.6008928571428571	9.354	0ea74d9ffc1f45dd56bb8667a577f7645df95dea20798f1f89cd98eecc7064df	35.71	67.86	75.0	60.71	65.62	70.83	70.0	17	0.7107142857142857	0.6008928571428571	9.604	05d9e0ecbc48773812fa3a87a25311ebd39b798afcc53e37bbd05e2d3a9d3e11	32.14	66.07	67.86	64.29	65.52	66.67	66.67	13	0.7107142857142857	0.6008928571428571	9.429	0ea74d9ffc1f45dd56bb8667a577f7645df95dea20798f1f89cd98eecc7064df	44.29	72.14	77.86	66.43	69.9	75.05	73.64	0.0	145920.0	0.0016581632653061224	0.0004145408163265307	0.0008928571428571422	0.0010204081632653084	0.0003878781145219108	0.000673203139661625	0.0003830279184050509	0.0	269.2	0.0	("8e5075c3ea4de333c24c2395f7371906d9cb8f3a7c3e6dd5c8f81ef4597386b5", "8bb79beee33a04322ed774076e0eb5b06a6b7837d48a40e02ca7f69cfd4e7caf", "28d498de7678dcf0edf314e3d3125d1cf3fdf3f0bf0083b020ffbb0b84c8f532", "e0323a81c977befff51d113ffecf5f50f0f31070a4f9f978e0889c59d5effe9c", "f5ab01bf92252b917a9ff49b0b4bd4e81a8704c7f9d660abbd4bba4e7c420523")	48.57	74.29	79.29	69.29	72.09	76.98	75.51	27.96	292480.0	0.0010204081632653116	0.0002551020408163279	0.00025510204081632634	0.0003826530612244895	0.0002437275985663074	0.00030011834319526674	0.0002192981707048388	0.00018012373717597364	587.2	2579.815	("d063cf308285d216d3794a6e397ac80f3893f0ded86d1f82b347cd40658e5718", "8e500cc14abe8b93bfc8ed5bcc11dcfdd186355d45e132826df969bd49b2eb0c", "a0c23d41fb3079725f1c7d80f67c698c7cc8f89f4a59af18097f5e7be12a5cf0", "a0edb79b4fad61afe506ede6a9acdc876efc31d4ceda589c7e4c354f58a0322d", "7feb7e9431bf4eac9b12534cc5d07fd589fa46e914a02dd9c14b6eefe436cd8f")	
2	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	28.57	64.29	60.71	67.86	65.38	63.33	62.96	19	0.6880952380952382	0.5791666666666667	60.686	c4a169799476905169387b2f912924c2fe6a80fa9fb86dc642c3881b1f9c5ee2	14.29	57.14	42.86	71.43	60.0	55.56	50.0	7	0.625420168067227	0.5676630434782608	6.828	14455277e95311ac46508842311b1c7fe0b3b35c7b2b39ee576df4c14bd15e8e	28.57	64.29	60.71	67.86	65.38	63.33	62.96	19	0.6880952380952382	0.5791666666666667	11.33	c4a169799476905169387b2f912924c2fe6a80fa9fb86dc642c3881b1f9c5ee2	14.29	57.14	42.86	71.43	60.0	55.56	50.0	7	0.625420168067227	0.5676630434782608	6.76	14455277e95311ac46508842311b1c7fe0b3b35c7b2b39ee576df4c14bd15e8e	32.14	66.07	69.29	62.86	65.2	67.26	67.1	0.0	145640.0	0.0006377551020408157	0.00015943877551020393	0.001658163265306121	0.0022959183673469425	0.0003902145832088944	0.000319309114647013	0.00023355480852852264	0.0	988.7999999999997	0.0	("b73921c6e552b3080f3b82eb199bb1222e8412b5ae1157c09d98eb139bb3027d", "cc2d2c155c5185f43388a469579e12bc3ff88e3fac4ebe9629bacf7dc422230d", "915fe95882357769acaa8ea0074a268d3bd7059fb4e6c2245cc5e1d93d36c015", "a0dda5d191a8ab16d7d98d17b293dd88d237dcb216ad2f6185d4f87b2c2619dd", "eb9914240f00e9ad0db207dc2c218b3471373a1904ee51087ac6160a5ee76e17")	28.57	64.29	68.57	60.0	63.31	65.54	65.79	29.38	290920.0	0.003188775510204087	0.0007971938775510216	0.00025510204081632634	0.0034438775510204117	0.001144195583953353	0.0004880272108843536	0.0003439650685516003	0.00033871094055916776	2525.2	2444.81	("d91949ca36731765646f5127fc69d0d43e773d224a4c9036c34490cf1662e227", "69460290b18bd1fbda7d671ee8f97f8d703b917437ea424fe42a712e59cf72c0", "9ac6fb5abdcde056f4127b2165d9c872c914274356b894280db050bc83716f1a", "9ee3fbed5cc65e93fc43127b5b3733b3a8ab1171414ccedfbd957c546ee53411", "6f3659d890cca3f103d7a98ec370adf97c757a335a98b23e7e417d337e5f1d17")	
3	stump_with_memoization	(1,false)	1	40	(75,50)	false	Any[]	TestOp_80	25.0	62.5	50.0	75.0	66.67	60.0	57.14	15	0.6152255639097745	0.5634868421052632	23.515	dd7efb0704c85a206c4540e3d42489ce9e6d180c886bd94007e03e8215c3fbcc	25.0	62.5	50.0	75.0	66.67	60.0	57.14	13	0.6152255639097745	0.5634868421052632	10.09	977cb3e21389260d8aaeddaab379720c81c7c4c8dfea836cc06f1154152f222f	25.0	62.5	50.0	75.0	66.67	60.0	57.14	15	0.6152255639097745	0.5634868421052632	10.359	dd7efb0704c85a206c4540e3d42489ce9e6d180c886bd94007e03e8215c3fbcc	25.0	62.5	50.0	75.0	66.67	60.0	57.14	13	0.6152255639097745	0.5634868421052632	10.283	977cb3e21389260d8aaeddaab379720c81c7c4c8dfea836cc06f1154152f222f	32.14	66.07	48.57	83.57	74.88	61.94	58.81	0.0	147000.0	0.006377551020408169	0.0015943877551020424	0.0029336734693877543	0.00229591836734694	0.004014862072279896	0.0009966849406351484	0.002678411349947123	0.0	536.0	0.0	("bc040f10a3483924f3aa662cad0b614d33a9aad4d279f6f70a9220b9bf34f980", "21bb89e36fe1792cfe68a8401cb29329477239fd2aa5d2ad5dff337088017123", "440e9b425de494b794ab2f5afbc269899702ff0104970e2b9b0764a37742c931", "1d6e7d2fbf381e560ce13f7a7093ae43eb4be7227f199c2caad8231521c474fc", "c36e9ac8300cb12c3d6739dfbabf62a709587df11d883af96d24231cc0f376f6")	35.0	67.5	50.71	84.29	76.68	63.09	60.95	25.75	292760.0	0.002806122448979591	0.0007015306122448977	0.0008928571428571421	0.0022959183673469416	0.0037890932252658944	0.00030894634621145067	0.0008380767802387409	9.201973529642051e-5	1002.8	2472.776	("03c30c3703e3484cddb591ddfaf9ae13b0ffcd9c66e00cc528bb408f01f6d430", "8e7d4f5304760f63daf262bacba86c6fd1db33f44c1324eba9ebeeba6b9e927b", "5b09899354268171d2e6e308dfc564c1bdf53fe10e70824c36f6ab2c0433e772", "249d26c8c4dce0745290d702f2cbbee8789b345ef61be1cd8b1553f8de1ede61", "96041c419283802dc886765c3dd6e47d79b5cb4da4dacb4af613a6d2b82e9f46")	
