index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB5normsorted,EEGB1normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB16normsorted,EEGB24normsorted,EEGB9normsorted,EEGB19normsorted,EEGB34normsorted,EEGB10normsorted,EEGB15normsorted,EEGB23normsorted,EEGB13normsorted,EEGB17normsorted,EEGB20normsorted,EEGB18normsorted,EEGB25normsorted,EEGB12normsorted,EEGB11normsorted,EEGB14normsorted,EEGB37normsorted,meannormsorted
10,DN_HistogramMode_10,Z10,0.006399765866604034,0.005669727673428315,0.006566948483865688,0.006445520184198209,0.006601874328481485,0.008661593706547874,0.010534723629471488,0.00832429235531455,0.009249063981856613,0.010963994946295144,0.007635947138873117,0.009639496181657402,0.01241903309049243,0.006596293478599826,0.007877778266665724,0.009472899253530941,0.009375334885821533,0.007953248204932793,0.00972226016486831,0.008356636311171842,0.012493472386667518,0.009237197279496403,0.00899237464208848,0.009097984452650115,0.009994389555567,0.008731274017965873
11,FC_LocalSimple_mean1_tauresrat,CC,0.009574890104159014,0.008571895552368203,0.007120312967000128,0.007163438732246846,0.00942923925779695,0.008040596576696833,0.007374410138302786,0.00829071372887911,0.007399212830225879,0.006695580027474245,0.00830205148997213,0.006584749004704292,0.00745164157737834,0.007760397747762861,0.007372252297113558,0.007025086855219189,0.007431093001987356,0.007525614945749254,0.007656033537152025,0.006877352011732566,0.007450618505902031,0.00759470882692815,0.007713958431648581,0.008071017920478084,0.007477583185080908,0.007678177970158372
12,DN_OutlierInclude_n_001_mdrmd,B,0.0023699142291316493,0.0023923097380557615,0.0025790852833469796,0.003445560660190753,0.0020558429901466656,0.005110451591556427,0.0050117165482318924,0.004758281646216768,0.00643616754913012,0.008035164443319913,0.005810046464205508,0.006827421581301377,0.0071656522668909935,0.0057783490770074285,0.006106775769040878,0.007389743191618208,0.005634851536664227,0.00654324714106713,0.006797335167536285,0.006655605274258109,0.009383354970505584,0.006353066525365549,0.006519034677710483,0.006738216807855375,0.007810844567299549,0.0057483215879061455
13,FC_LocalSimple_mean3_stderr,ME,0.005627976088957429,0.005136422395519772,0.00466095811352496,0.004302755443338406,0.005581553694856346,0.004302411928610714,0.004337802843150142,0.004453067886385981,0.003933595148839599,0.0038567843831116308,0.004408708181767087,0.004207417546126591,0.00384860942631829,0.0042965932196026525,0.004195639784495647,0.0042577580456190115,0.00436334425739419,0.004055476154043831,0.004412829816786135,0.004129980960122366,0.004403798805093263,0.004230403353431075,0.004375700266767478,0.005005216097318084,0.004120121663989591,0.004420197020206811
14,CO_HistogramAMI_even_2_5,AI,0.0024789852700176722,0.002540674871468354,0.002351202163492389,0.0023489667464532287,0.002406634893064587,0.0023304373781730756,0.002583100201871133,0.0028794614582321894,0.0024281681939688185,0.0022727757712770543,0.002801833923343583,0.002382740712010187,0.0026967569727843394,0.002350381796689074,0.0023052255329774193,0.002461604741110639,0.002668930459592802,0.002102211176908879,0.00244071445189798,0.002263731263575873,0.0026159234662266996,0.002706098966316826,0.0028941960101225013,0.0024986330673804243,0.0025654712791051376,0.0024949944307224347
15,SP_Summaries_welch_rect_area_5_1,TP,0.0010896508877258624,0.0010404950662492509,0.0010275187614064902,0.0011329580888613797,0.0010750393395329656,0.0011749825412175478,0.0010896305479506667,0.0010518229586306477,0.0011177093916314392,0.0012012267839837103,0.0010968908866678146,0.0011126419478354186,0.0011848951042713097,0.0012599640594260924,0.001150414818750631,0.0012126709015401124,0.0011584544271065038,0.001158216146121406,0.0011945309195739412,0.0011354665621131363,0.0012573663847121636,0.0011096157449832535,0.001162010476583561,0.0013396772825550326,0.0013657416850171458,0.0011559836685778994
16,MD_hrv_classic_pnn40,PD,0.002455772601491418,0.0020867461154069978,0.0020319658569898005,0.0012011745859879666,0.0023957729280035148,0.0008666277170360997,0.001237506634447817,0.0012378945277782178,0.0006335522860829239,0.0007190731905907784,0.0008738850784114864,0.0007578466789298654,0.0014442951958912305,0.0005721794097388464,0.000545366363197739,0.0009225966304480318,0.0010201216845191533,0.0006832444216291037,0.0006654241670992759,0.0007426799055216279,0.0009906726691743797,0.0010311541282504186,0.0006398274017402415,0.0007574139093087204,0.0012682942208577844,0.0011112435323413377
17,SB_MotifThree_quantile_hh,EN,0.0009807115105447263,0.0009561110481293063,0.0008529989338679967,0.0009485862764124521,0.0009577218156160654,0.001136377570568441,0.0009847005421376555,0.001136643188580546,0.0010730128589311726,0.000860528038159387,0.0009368001560236226,0.0008226298265678113,0.0008821205443002317,0.0008561688759710468,0.0009144493669496328,0.0008750550026300578,0.001019127482048255,0.0009443065175067034,0.0008594053482468931,0.0009581793972412664,0.0008445517758915281,0.0009636562059959167,0.0009112026364337197,0.0012172634594027451,0.001052569616005304,0.0009577951197664992
18,CO_Embed2_Dist_tau_d_expfit_meandiff,EF,0.00026313391118028463,0.000253663887694862,0.0002737800040229497,0.00022431837741390234,0.0002655708125429579,0.0002716561443644287,0.00026774131395397414,0.0002911840637130018,0.0002633567200856408,0.00018372294773352397,0.000274235489808859,0.00025507607979811963,0.0002806420533394813,0.00028703589132977354,0.00021249145772209106,0.0002092355154718118,0.00026923142433810695,0.0002598533001661969,0.00021597352083922784,0.00022332402877091822,0.00023402712368879666,0.0002751619188479907,0.0003073557910394196,0.00028404136098936716,0.0002973363361496352,0.00025772597900021286
19,SB_TransitionMatrix_3ac_sumdiagcov,TC,0.0001237077612749438,0.00011164400604451079,0.00011140428689270018,0.00011116695597899868,0.000117543304826165,0.00011184750925332072,9.76424029404619e-5,0.00010863294913517891,8.990392423776921e-5,0.0001228589090036492,0.00010327421956851902,0.00010210135318239677,0.00011369918542521142,0.00010170169815069995,8.255663734130819e-5,0.00010110302890986608,0.00010545992114452194,0.00012533793305165023,0.0001131033176252096,0.00011222006371073902,0.00013225897596196276,0.0001392797269317877,0.00012193801048974697,9.545846517391227e-5,0.00012447356935939296,0.00011121272462458494
20,max_m,MAX,4.973184471902708e-7,2.5438838771950273e-7,1.1185928139261001e-7,5.043807414384872e-8,1.5304597957945557e-7,2.656448841980426e-8,1.793449199747801e-8,1.827111934567782e-8,6.847909166592923e-9,3.841469355224901e-9,1.7651328314969915e-8,5.432102021586966e-9,1.8787351498600024e-10,1.370770404792422e-8,6.408883032627243e-9,4.2287932142359475e-9,4.349033449083794e-9,6.482127724186853e-9,5.6663913323697064e-9,5.928284214354162e-9,3.481603850387715e-9,5.610774174164779e-9,9.45049410248199e-9,5.867874374418225e-9,6.832011202734676e-11,4.9401249431610817e-8
21,mean_m,M,6.065049617201514e-8,3.951676385048089e-8,2.2021987368254704e-8,1.2305178419529098e-8,1.7271393622172553e-8,8.291825156815282e-9,6.190035690040676e-9,5.260126090344585e-9,6.952892241105845e-10,2.167166678617287e-10,3.840329896603845e-9,4.601898765858284e-10,1.8733293160954685e-11,2.380195393656198e-9,6.415313245145331e-10,2.6216837563561885e-10,5.531627454827604e-10,6.586631422840395e-10,4.243234624753648e-10,5.950253757317491e-10,2.1202865781979827e-10,8.079831762422695e-10,1.5329736127303583e-9,5.857430616689552e-10,8.014089387372169e-12,7.416035109824194e-9
22,min_m,MIN,5.343066134218025e-9,4.559945880647541e-9,3.6182814971840837e-9,2.8555902295732654e-9,1.4086536474331845e-9,1.8072644846086816e-9,1.2624366798886186e-9,8.220973335865342e-10,9.034277403567368e-11,1.388889683384016e-11,4.114388847064156e-10,8.979943902500722e-11,0.0,2.387098691841357e-10,8.870948672009156e-11,1.4245714797372214e-11,1.408828464474369e-10,9.452029446784757e-11,5.996685278785142e-11,9.535025300925868e-11,1.63935015230175e-11,1.9999824628201856e-10,2.619958829874017e-10,1.0479462883257593e-10,0.0,9.43934938351195e-10
23,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,FDFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,FLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
