Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(1.0,50,half,all)K	RF(1.0,50,half,all)accuracy	RF(1.0,50,half,all)safe_macro_sensitivity	RF(1.0,50,half,all)safe_macro_specificity	RF(1.0,50,half,all)safe_macro_PPV	RF(1.0,50,half,all)safe_macro_NPV	RF(1.0,50,half,all)safe_macro_F1	RF(1.0,50,half,all)oob_error	RF(1.0,50,half,all)n_nodes	RF(1.0,50,half,all)σ² K	RF(1.0,50,half,all)σ² accuracy	RF(1.0,50,half,all)σ² safe_macro_sensitivity	RF(1.0,50,half,all)σ² safe_macro_specificity	RF(1.0,50,half,all)σ² safe_macro_PPV	RF(1.0,50,half,all)σ² safe_macro_NPV	RF(1.0,50,half,all)σ² safe_macro_F1	RF(1.0,50,half,all)σ² oob_error	RF(1.0,50,half,all)σ² n_nodes	RF(1.0,50,half,all)t	RF(1.0,50,half,all)hash	RF(1.0,100,half,all)K	RF(1.0,100,half,all)accuracy	RF(1.0,100,half,all)safe_macro_sensitivity	RF(1.0,100,half,all)safe_macro_specificity	RF(1.0,100,half,all)safe_macro_PPV	RF(1.0,100,half,all)safe_macro_NPV	RF(1.0,100,half,all)safe_macro_F1	RF(1.0,100,half,all)oob_error	RF(1.0,100,half,all)n_nodes	RF(1.0,100,half,all)σ² K	RF(1.0,100,half,all)σ² accuracy	RF(1.0,100,half,all)σ² safe_macro_sensitivity	RF(1.0,100,half,all)σ² safe_macro_specificity	RF(1.0,100,half,all)σ² safe_macro_PPV	RF(1.0,100,half,all)σ² safe_macro_NPV	RF(1.0,100,half,all)σ² safe_macro_F1	RF(1.0,100,half,all)σ² oob_error	RF(1.0,100,half,all)σ² n_nodes	RF(1.0,100,half,all)t	RF(1.0,100,half,all)hash
nothing	stump_with_memoization	TestOp_80	FingerMovements	"(true,""one_world"")"	1	-16.14	42	45.1	38.78	43.4	40.43	44.23	65	0.531090909090909	0.452136363636364	54.229	e98361180866b43328b13ac040a7b18e7a70dbb7e2e9442605918453cc759166	-9.56	45	35.29	55.1	45	45	39.56	33	-Inf	-Inf	45.673	6a20089e9615ed3fcb237e1e49b5c799cf3a2b6d3f9aadea64b89496e8e367b9	-12.04	44	45.1	42.86	45.1	42.86	45.1	59	-Inf	-Inf	44.484	6129c15c218d55afc3e19559155bd26206c8c5887f969ed9f53f09513cf1d060	-9.56	45	35.29	55.1	45	45	39.56	33	-Inf	-Inf	43.791	6a20089e9615ed3fcb237e1e49b5c799cf3a2b6d3f9aadea64b89496e8e367b9	12.04	56	54.9	57.14	57.14	54.9	56	0	249000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""3543cacc6837542a5c8af1569c3ec70d30eaaef5d336a05638767571c9e9ed19"",)"	12.04	56	54.9	57.14	57.14	54.9	56	50.32	499600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	176.733	"(""c9d3416e8a42c0ea99ab2f73f866e645bf1c5c57807a60fe6d60e768414ab1f2"",)"
nothing	stump_with_memoization	TestOp_80	Libras	"(true,""one_world"")"	1	72.02	73.89	73.89	98.13	75.21	98.14	73.7	65	-Inf	-Inf	0.545	fae6bff9b7d7aa9cd74d48b5ccadd718cf6d918f0d8148bfd79f38381fea7c88	69.64	71.67	71.67	97.98	74.66	97.99	71.31	41	-Inf	-Inf	0.65	12045dc4569632d2fd5d1acce06523a1c4b4756456706bc4e361a5ce14adc6c8	68.45	70.56	70.56	97.9	72.52	97.91	70.46	57	-Inf	-Inf	0.54	980fdf4c0d4e1603b88d159a16e88189d7bac6167c0170125c30746580328641	67.86	70	70	97.86	72.89	97.87	69.53	41	-Inf	-Inf	0.533	f1f2a356a49afee8fc440e98c34d5d5da6ea7c8ff0e1e329f4734a36c108d32d	80.36	81.67	81.67	98.69	82.74	98.7	81.22	0	270800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""d5297c04c9936408a4e672d1c21cc13771a6471959f4fb299f06afa9f8b1fcb9"",)"	79.17	80.56	80.56	98.61	82.56	98.62	80.3	23.33	547200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.787	"(""a81e0ffd10edd27a3fefdd5089bbfce30fa04e8833bbde493332458ffb09f76d"",)"
nothing	stump_with_memoization	TestOp_80	LSST	"(true,""one_world"")"	1	31.15	42.01	26.44	95.09	26.21	95.08	26.15	1001	-Inf	-Inf	151.687	61abb6fcbcb5b61823f6fa4d631137fb08eecf2ef0ad3045ce4d64bc779142e7	33.98	45.13	27.26	95.27	27.1	95.3	27.03	681	-Inf	-Inf	147.42	dfbc2113ff42140d7ce3a4d8f8d4324918c5a156f81ad5e63bc02aa232df7ccc	31.82	42.82	26.55	95.13	26.73	95.12	26.43	713	-Inf	-Inf	142.617	7648800e7fc45c595d1676b16b265b3722513339e13167eb98f61cd8abcee0f7	33.78	44.89	27	95.26	27.14	95.28	26.86	565	-Inf	-Inf	148.755	5b22e533026141687d1ce75fd7afc8147b89f2d5295d158390641f82149d62bb	48.29	59.57	31.76	96.15	NaN	96.66	32.11	0	4276000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""b078603ed58a28277e34f5f4993631ca6603a2a8d1472dd26d51005bc7f6750a"",)"	48.15	59.49	31.74	96.14	NaN	96.67	32.11	42.13	8559400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	968.677	"(""ccf8fe4a396f7be938a22d5ae88e7808244c0f94bf200be607e62863ed864198"",)"
nothing	stump_with_memoization	TestOp_80	NATOPS	"(true,""one_world"")"	1	59.33	66.11	66.11	93.22	66.11	93.48	63.8	27	0.715454545454545	0.615681818181818	6.565	78e3bd960f983731237a3668c86ccdb64dc6c28aa592abc35ceecbbc9d71c4ce	54.67	62.22	62.22	92.44	60.85	92.63	60.44	17	0.715454545454545	0.615681818181818	6.248	34195d1fd39f908b6650853f81538d6b4e1c3a9e07b011cf3d157d54c954aef1	61.33	67.78	67.78	93.56	67.69	93.61	67.28	25	0.715454545454545	0.615681818181818	6.022	d70e2aa7663734de2e7f8f541016b4e87438efedf8141e2a1f66c652a5466679	61.33	67.78	67.78	93.56	67.69	93.61	67.28	19	0.715454545454545	0.615681818181818	6.079	629a739c473c4de526853c8be64a2f10129d9b2894ebc5969178f9c752c971de	70	75	75	95	74.04	95.08	74.16	0	140600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""4723d0f1835d5d22f50d35e4f1aa041d4b3b79f3544b5414e5aadbda2eacf2f8"",)"	69.33	74.44	74.44	94.89	73.54	94.99	73.38	17.22	280200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.419	"(""20075f46151bc3e5c01b295fd88468625666f96602aaf906d247d7582d675665"",)"
nothing	stump_with_memoization	TestOp_80	RacketSports	"(true,""one_world"")"	1	45.57	59.21	60.03	86.33	61.36	86.34	60.08	39	0.601461988304094	0.510891812865497	1.703	c4bf5482f0ffd4256a8b22982a8775fa80740d6245e792cb2a2fe889811ef8e6	41.24	55.92	57.13	85.22	57.86	85.32	56.77	23	0.571052631578947	0.483717105263158	1.361	a058fbe61885e1f4e0428547a0dc87489b7a14d4378385deb2809a3e46cb8f1b	45.52	59.21	59.99	86.3	63.69	86.4	60.25	33	0.601461988304094	0.510891812865497	1.473	93a66d6319920fcdd04b32e712cdd789b1a45c07ad4de1a106f277213a5a68c5	41.28	55.92	57.21	85.23	59.78	85.45	56.8	21	-Inf	-Inf	1.469	bcd43d9637dd0aebdc7bef301a2cb5b578a075d9d07f93ba3f185707d90e4117	69.37	76.97	78.91	92.25	77.68	92.51	77.44	0	173400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""88943c947e19c087be919d4859ffa5000a819a0db776458cb764607bb87f664c"",)"	76.33	82.24	83.69	94.02	82.77	94.11	82.81	20	340200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.818	"(""aabe52a6a68e039ef414b9c3e4b3c5a8a988b3fd06e713890b438c441d894a45"",)"
																																																																																													
	Means Dts	Means Rfs	Dataset																																																																																										
	55.025	48	FingerMovements																																																																																										
	53.3325	77.5	Libras																																																																																										
	45.225	65.305	LSST																																																																																										
	87.2225	90.835	NATOPS																																																																																										
	62.9875	82.24	RacketSports																																																																																										
	58.6875	54	FingerMovements																																																																																										
	52.5	68.055	Libras																																																																																										
	32.8475	52.15	LSST																																																																																										
	72.0825	83.335	NATOPS																																																																																										
	58.02	83.885	RacketSports																																																																																										
	44.275	56	FingerMovements																																																																																										
	71.53	81.115	Libras																																																																																										
	39.645	59.53	LSST																																																																																										
	65.9725	74.72	NATOPS																																																																																										
	57.76	79.605	RacketSports																																																																																										
