index,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
10,Exhaust_temperature_7,EX_T7,0.0665875249922174,0.06777865886459793,0.06663735265026856,0.035756322366918364,0.03527113715696041,0.03427574406532272,0.036138199515001176,0.03579639255686667,0.03599194354948333,0.030752438632931124,0.04385844443123298,0.05198964141779285,0.038154834857755504,0.031139791691960985,0.03265080062894631,0.029706460469757102,0.03149879441188855,0.022231077281340432,0.037949880676788665,0.0432024472176225,0.014606684580870876,0.0398091107861824,0.04235914995130097,0.03823041273886131,0.03543945482718281,0.039112508012802076
11,Exhaust_temperature_8,EX_T8,0.053107224295068464,0.05622794015549152,0.05032289481783395,0.03437816217745221,0.03412110622644823,0.03362363443976156,0.03381871504831328,0.0338361787079912,0.032553766513956486,0.027528668074494764,0.043781051259181455,0.03973505971606191,0.03793861385823831,0.045117997296137455,0.03164513730517323,0.027584333996309707,0.031741274083068385,0.028293262797287007,0.03683367958393875,0.04589602583698941,0.01323099227162791,0.041188857821123755,0.044798320848672905,0.03596550033522328,0.03531247093864572,0.037143234736179635
12,Exhaust_temperature_12,EX_T12,0.04321490874904936,0.04371968053722547,0.04486343457731055,0.03454710268286995,0.034818771440050925,0.03224828582818585,0.03467002653167633,0.0345862015099253,0.035352201353886295,0.028661567168549076,0.042390748906673,0.04573746842558534,0.037519656650101,0.06767801719568421,0.032579068066771,0.02820104460927827,0.03048738125596624,0.024426744821174375,0.03662669467117245,0.04229762706193553,0.014174108224295384,0.04134991990019191,0.04428625405310105,0.03733766515676354,0.035509630550160196,0.03709136839710331
13,Compr_IGV_position,IGV_P,0.01985192029438024,0.017698782810750817,0.022271629872745995,0.04307029019288597,0.04199426474956809,0.04242799996268137,0.04473365598868396,0.044463093484139585,0.04325575693163978,0.04876426132548633,0.03263656541929599,0.04325182942768293,0.035849059198672456,0.03044294953426499,0.03933139753971313,0.04621241057827173,0.04350728604204188,0.0295672010742248,0.03965659388739392,0.027159246781811655,0.024547593526908093,0.040684649523133,0.0344013943722031,0.04258674590475315,0.04433831622292164,0.03690819578585019
14,Exhaust_temperature_1,EX_T1,0.04319537424112027,0.04549063030468353,0.040832621514266754,0.03596162276286061,0.03578201224559174,0.03357745017714252,0.03722697424634978,0.03705766961466118,0.037338866572370746,0.031465879879411164,0.03949782885111402,0.0402121788492871,0.037129580704757456,0.029549165434136687,0.03295402062701052,0.030582717808849167,0.03472094264372222,0.035220766384071164,0.03731609111627124,0.03904688078628131,0.017430314934147994,0.04026424528154806,0.04247493733802812,0.03919832837607924,0.03538074607961741,0.0363563138709352
15,Exhaust_temperature_13,EX_T13,0.03706043863813935,0.03848551294581329,0.03822855567670207,0.033372089250304264,0.03349812644897603,0.03184275052513518,0.03508004008190161,0.03512332568623069,0.03470930065507517,0.02921945656112332,0.04259254095536132,0.05109290626088641,0.037400135157779756,0.06287518518451556,0.03207830143873795,0.028630486716826643,0.02793246829021236,0.025851798042070277,0.03663688721717491,0.04263154563099332,0.013594227323146519,0.04053805421709813,0.0432204557903119,0.037906083619337415,0.034211485438925916,0.03615248631011118
16,Exhaust_temperature_14,EX_T14,0.034335304641055296,0.03542195097034432,0.03526410745757597,0.034005684382942665,0.03437363785897476,0.033145751037457545,0.03476118859244242,0.03454350419422267,0.035129724040150405,0.0278545285689672,0.04388129848245123,0.05609176307623103,0.037685911131617615,0.048657557328074065,0.031511658860381174,0.029100562719656064,0.02770504620118021,0.02257378954969239,0.035917671855119924,0.0443438522463141,0.013319408025631606,0.0405682991991504,0.044986897750454356,0.03661347541391669,0.0347131317409902,0.035460228212999774
17,Exhaust_temperature_16,EX_T16,0.03766972780940504,0.03895037640261286,0.03689225740492214,0.03510785416693982,0.034724471781905075,0.03468680110359346,0.03680002148280951,0.03654266701976231,0.03720019797139584,0.03181841895572133,0.04071932802023331,0.039615433051136704,0.03843219036509708,0.031776070232513616,0.03395124303007841,0.03268490379942473,0.03221833624301859,0.02377425876166611,0.036265007095318956,0.040303150208201084,0.016072501433158155,0.04017115249764492,0.04216498758715382,0.03821273213637462,0.0359260781277136,0.03530720666751205
18,Exhaust_temperature_10,EX_T10,0.04776054051857359,0.05196664924047067,0.04326450424117447,0.034149727783001696,0.03510992684411937,0.030624525217762516,0.03404592347576999,0.03500186435703289,0.031906929997735346,0.025607455080476536,0.04030465247616087,0.03748454020079646,0.0346713000332293,0.046696001958838315,0.029930697046864095,0.026907398547314162,0.02761229829999308,0.022951595667882744,0.03433241967838222,0.04163826460270975,0.011460118398741429,0.04078994984853639,0.04545888125723831,0.03705210558241845,0.03529293665251695,0.035280848280309585
19,Exhaust_temperature_9,EX_T9,0.04802070201523287,0.051809055935668875,0.04506157138913148,0.03429670471305766,0.035331053056962186,0.03248418384757374,0.034067346381446206,0.03404726124736321,0.0316586393337589,0.025937225999261244,0.04155099579901131,0.029212127788678093,0.03672418239858456,0.025094835852081367,0.030204216161645772,0.027202350809612696,0.03010160814419453,0.021539523484110455,0.033197661265070205,0.043422280739852846,0.011778401799174614,0.04078174958368559,0.04573746339057419,0.035948811668170794,0.03572404556320702,0.03443735993468442
20,Exhaust_temperature_15,EX_T15,0.033500471914914606,0.035709693531064866,0.03201189689175576,0.032868974516746245,0.033442051080983685,0.031726282708036055,0.03514008839256846,0.03541670348673399,0.035190332439643486,0.0281033394245874,0.04394157936638427,0.04159067981770663,0.03820029632575797,0.04133662025144399,0.03156991805604541,0.02869246897131167,0.028000780271858174,0.019651723516502663,0.036130644127774725,0.046212937213612366,0.012954716019457496,0.04087420176088911,0.04366436263538437,0.03700723499841523,0.03296698715326226,0.03423619939491363
21,Power_output,POWER,0.0030658989722114,0.0031077339489025703,0.0030180640836708485,0.046041771363505755,0.04539174770657186,0.04433405291955072,0.04610572068095086,0.04646861098350265,0.04108283348544356,0.0486663864144456,0.024494482191222678,0.01473822776930706,0.0338047405373689,0.008691387874785756,0.043707299671089966,0.04952654866054513,0.04673641030512569,0.03388641907200727,0.03751778212094067,0.024776365687843537,0.03545026179762876,0.04025594273762104,0.03228977698504489,0.04166690024541283,0.050614990006715946,0.033817614248856646
22,Compressor_outlet_pressure,IGV_T,3.163763755330925e-6,2.9304297903197814e-6,3.3695250334168064e-6,0.0437661955470311,0.04462944203889656,0.043065783008064004,0.04497791932599813,0.044596017643144865,0.04234363852759979,0.04860862630136007,0.02921233757198283,0.03941899330866668,0.034646544844008066,0.01216395048539215,0.04073910895834861,0.04671890161085402,0.044500519155657656,0.031120613595927122,0.03992474057152728,0.025245373717793507,0.02802349574888908,0.040645280909193074,0.0326100263291623,0.04167627596319995,0.04664474656632837,0.033811519817904166
23,Gas_fuel_mass_flow_rate,GAS_F,5.396717621445932e-6,5.312688630774959e-6,5.472610135052898e-6,0.046024462107189766,0.04601925128043093,0.04381712480907247,0.04602172674461412,0.04635856386226664,0.04135121442646676,0.04884087446181085,0.02403614254450791,0.0147358500426498,0.03303833333375205,0.011474824203498386,0.04304609681920646,0.0490866533018653,0.04427032031984281,0.03187295891932201,0.036361883318176476,0.022538934335673735,0.03226275273810961,0.04017182202318507,0.03226226593227327,0.04130008258522877,0.0500589718788691,0.03299869168017598
24,Gas_fuel_valve_position,GAS_P,0.001657984780255072,0.0016724075234739364,0.0017361844847040369,0.03709600698031113,0.03701706795297791,0.038977667472350305,0.0407097539747884,0.04026476329032091,0.040376270895742444,0.03966763420336228,0.033467812154787356,0.031100895337229383,0.036628428924730005,0.03198803161768365,0.03899591895470512,0.036981638895638116,0.03705505969107567,0.023729447917026577,0.038670199415178574,0.025366026044334106,0.02183233800258261,0.04029563429291126,0.03821572926641134,0.04106299016063672,0.04056770305039547,0.031805343811344505
