Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 2, 0.01, 0.4, false)train_accuracy	T,(nothing, 2, 0.01, 0.4, false)K	T,(nothing, 2, 0.01, 0.4, false)accuracy	T,(nothing, 2, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.4, false)n_nodes	T,(nothing, 2, 0.01, 0.4, false)n_leaves	T,(nothing, 2, 0.01, 0.4, false)height	T,(nothing, 2, 0.01, 0.4, false)modal_height	T,(nothing, 2, 0.01, 0.4, false)t	T,(nothing, 2, 0.01, 0.4, false)hash	T,(nothing, 2, 0.01, 0.5, false)train_accuracy	T,(nothing, 2, 0.01, 0.5, false)K	T,(nothing, 2, 0.01, 0.5, false)accuracy	T,(nothing, 2, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.5, false)n_nodes	T,(nothing, 2, 0.01, 0.5, false)n_leaves	T,(nothing, 2, 0.01, 0.5, false)height	T,(nothing, 2, 0.01, 0.5, false)modal_height	T,(nothing, 2, 0.01, 0.5, false)t	T,(nothing, 2, 0.01, 0.5, false)hash	T,(nothing, 2, 0.01, 0.6, false)train_accuracy	T,(nothing, 2, 0.01, 0.6, false)K	T,(nothing, 2, 0.01, 0.6, false)accuracy	T,(nothing, 2, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.6, false)n_nodes	T,(nothing, 2, 0.01, 0.6, false)n_leaves	T,(nothing, 2, 0.01, 0.6, false)height	T,(nothing, 2, 0.01, 0.6, false)modal_height	T,(nothing, 2, 0.01, 0.6, false)t	T,(nothing, 2, 0.01, 0.6, false)hash	T,(nothing, 4, 0.01, 0.4, false)train_accuracy	T,(nothing, 4, 0.01, 0.4, false)K	T,(nothing, 4, 0.01, 0.4, false)accuracy	T,(nothing, 4, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.4, false)n_nodes	T,(nothing, 4, 0.01, 0.4, false)n_leaves	T,(nothing, 4, 0.01, 0.4, false)height	T,(nothing, 4, 0.01, 0.4, false)modal_height	T,(nothing, 4, 0.01, 0.4, false)t	T,(nothing, 4, 0.01, 0.4, false)hash	T,(nothing, 4, 0.01, 0.5, false)train_accuracy	T,(nothing, 4, 0.01, 0.5, false)K	T,(nothing, 4, 0.01, 0.5, false)accuracy	T,(nothing, 4, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.5, false)n_nodes	T,(nothing, 4, 0.01, 0.5, false)n_leaves	T,(nothing, 4, 0.01, 0.5, false)height	T,(nothing, 4, 0.01, 0.5, false)modal_height	T,(nothing, 4, 0.01, 0.5, false)t	T,(nothing, 4, 0.01, 0.5, false)hash	T,(nothing, 4, 0.01, 0.6, false)train_accuracy	T,(nothing, 4, 0.01, 0.6, false)K	T,(nothing, 4, 0.01, 0.6, false)accuracy	T,(nothing, 4, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.6, false)n_nodes	T,(nothing, 4, 0.01, 0.6, false)n_leaves	T,(nothing, 4, 0.01, 0.6, false)height	T,(nothing, 4, 0.01, 0.6, false)modal_height	T,(nothing, 4, 0.01, 0.6, false)t	T,(nothing, 4, 0.01, 0.6, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)K	RF,(half_f, 50, 0.7, identity, nothing, false)accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² K	RF,(half_f, 50, 0.7, identity, nothing, false)σ² accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	65.85	82.93	82.93	80.49	85.37	84.62	81.4	82.5	27	14	7	6	66.699	c8d1fd6ced5546e1c7d4c54d29777adb3c0622c853ab1dbe4861e6ca32c77525	99.39	65.85	82.93	82.93	80.49	85.37	84.62	81.4	82.5	27	14	7	6	15.996	c8d1fd6ced5546e1c7d4c54d29777adb3c0622c853ab1dbe4861e6ca32c77525	99.39	65.85	82.93	82.93	80.49	85.37	84.62	81.4	82.5	27	14	7	6	15.813	c8d1fd6ced5546e1c7d4c54d29777adb3c0622c853ab1dbe4861e6ca32c77525	98.47	60.98	80.49	80.49	80.49	80.49	80.49	80.49	80.49	25	13	7	6	15.534	af11363ba88dc8da3b993fc8a9d7a758ca7255559d0e3024bb9a080338d19071	98.47	60.98	80.49	80.49	80.49	80.49	80.49	80.49	80.49	25	13	7	6	15.467	af11363ba88dc8da3b993fc8a9d7a758ca7255559d0e3024bb9a080338d19071	98.47	60.98	80.49	80.49	80.49	80.49	80.49	80.49	80.49	25	13	7	6	15.644	af11363ba88dc8da3b993fc8a9d7a758ca7255559d0e3024bb9a080338d19071	99.57	60.98	80.49	80.49	70.73	90.24	87.88	75.51	78.38	8.28	5000.0	100240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	20080.0	550.768	("7b5055c31d6ce2f6e96d1add358d2ff6988dfca7a2fca14c80b22108c211013f", "bda8948a1228b1148a0f208344a85def175d4cdc6491ae085a15202f8d220896", "3680a9c8aff6734be60e716c1d8e4b561e8c65960b1a50498201118f5e5a7f59", "d1eaf87f8522fc4e85cc861b7e153f2080ce5ef2b8a438fdda77b5b40622f2f8", "ebbcdc3c673bd19188e5065a4f54a8c85731140a5e5860842b116979c53fca95")	
2	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	78.05	89.02	89.02	92.68	85.37	86.36	92.11	89.41	31	16	6	5	52.239	685735eb6784c352a77a1c0375ee650b238fc62bba06695b88faa885ba818fe8	99.39	78.05	89.02	89.02	92.68	85.37	86.36	92.11	89.41	31	16	6	5	18.652	685735eb6784c352a77a1c0375ee650b238fc62bba06695b88faa885ba818fe8	99.39	78.05	89.02	89.02	92.68	85.37	86.36	92.11	89.41	31	16	6	5	18.677	685735eb6784c352a77a1c0375ee650b238fc62bba06695b88faa885ba818fe8	97.24	80.49	90.24	90.24	90.24	90.24	90.24	90.24	90.24	25	13	6	5	17.025	f775badfe8e43e4683d533e537008ba425a1f525c7d18374012051799f691beb	97.24	80.49	90.24	90.24	90.24	90.24	90.24	90.24	90.24	25	13	6	5	17.039	f775badfe8e43e4683d533e537008ba425a1f525c7d18374012051799f691beb	97.24	80.49	90.24	90.24	90.24	90.24	90.24	90.24	90.24	25	13	6	5	16.835	f775badfe8e43e4683d533e537008ba425a1f525c7d18374012051799f691beb	99.45	77.56	88.78	88.78	87.32	90.24	89.99	87.68	88.62	9.82	5000.0	108680.0	0.0	0.07	0.02	0.02	0.01	0.06	0.05	0.01	0.02	0.0	0.0	11720.0	661.167	("3129f2b70ef900d313e779a078c5fd977980460d08c586ca3d87e3b557cb3ad8", "9febf92f80d7903d0e12c458e5ba3c535ecd8fb989d535c00587344770173356", "f28c050d5b692a5e59f8df3ec8405a4ec460a187adb9605e4e50fad7d4cf3d6d", "50f8fcd0549fa806c98f9fa921a60d106330ea19405f8f59c9afbcc37a67ddd3", "9ced6f4314e96df59874ff9fd19f02243ce404cba9b79fff41143083416e5c41")	
3	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.69	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	25.794	d628c653127bcae2c3e772217b01d99103af347669e381e4a9da0642f1fd123f	99.69	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	9.706	d628c653127bcae2c3e772217b01d99103af347669e381e4a9da0642f1fd123f	99.69	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	9.468	d628c653127bcae2c3e772217b01d99103af347669e381e4a9da0642f1fd123f	98.16	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	10.321	c30e464737679aabd87f535dbad1c546106963cb6f670586e4fc5bfeb040986d	98.16	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	10.077	c30e464737679aabd87f535dbad1c546106963cb6f670586e4fc5bfeb040986d	98.16	82.93	91.46	91.46	92.68	90.24	90.48	92.5	91.57	25	13	6	4	9.251	c30e464737679aabd87f535dbad1c546106963cb6f670586e4fc5bfeb040986d	99.51	80.49	90.24	90.24	89.76	90.73	90.65	89.86	90.2	9.02	5000.0	109000.0	0.0	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	48600.0	467.391	("302c5b112a335c4a00ab46c39c218a8e92988ff9932bc9ef1e7eb6a789c71ae0", "ece3997f29f3424d8a197d2766f8a5692ade6f7b07878496de5c2d9939532a57", "d00477ab2c1315a6d9db9e23f200839042bed9f34ecaadf490ef6abfc7de8384", "b19f906f808649f5670e808ea5ef405a02324d1ed3e85969fc283de800ce9556", "5816a6e66addc1233790a35fc00c7779bbb3aebb7a6f1c89eb24f6e4b7172d61")	
4	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	63.41	81.71	81.71	85.37	78.05	79.55	84.21	82.35	29	15	6	4	23.435	64f06490569386dd8a46ea87b9ebbbc8bf47f9265521f9e5f6f2a06437b64f8c	99.39	63.41	81.71	81.71	85.37	78.05	79.55	84.21	82.35	29	15	6	4	11.314	64f06490569386dd8a46ea87b9ebbbc8bf47f9265521f9e5f6f2a06437b64f8c	99.39	63.41	81.71	81.71	85.37	78.05	79.55	84.21	82.35	29	15	6	4	11.232	64f06490569386dd8a46ea87b9ebbbc8bf47f9265521f9e5f6f2a06437b64f8c	98.16	68.29	84.15	84.15	85.37	82.93	83.33	85.0	84.34	25	13	5	4	11.123	2e35ef36e3f917ff5748a035bddaae4be0e5e7ec9d7a90e02a75c3e61131ac53	98.16	68.29	84.15	84.15	85.37	82.93	83.33	85.0	84.34	25	13	5	4	11.138	2e35ef36e3f917ff5748a035bddaae4be0e5e7ec9d7a90e02a75c3e61131ac53	98.16	68.29	84.15	84.15	85.37	82.93	83.33	85.0	84.34	25	13	5	4	11.063	2e35ef36e3f917ff5748a035bddaae4be0e5e7ec9d7a90e02a75c3e61131ac53	99.45	86.34	93.17	93.17	89.27	97.07	96.92	90.09	92.9	10.31	5000.0	109240.0	0.0	0.05	0.01	0.01	0.05	0.07	0.08	0.03	0.01	0.0	0.0	55680.0	435.422	("42a0ef15f7bd27929546b1e8d34eb2708d847fae9f447ece4e50a95d0ebc39fd", "12fc6688ed7b99bc14b1f430cb20b451b8df89ee1cd28d2a16674a90e47e4a64", "c00686032f81e163242036d2e962c071f3e35ffc75603404e2534aa55cf66fac", "7aeab6d57aaf5f9165e7e5f9f34fe098a3c150c7d2921832fc64fb8149e6279d", "3e17f580900a7f35f40c43e85d2cd2a0c2667ba8dc014a631231293997e4bd8c")	
5	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	7	5	16.911	dd27aaf54d38ab1ba630aded77e41074a8ece1e925e9fbe0bffb31cfc2e621bf	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	7	5	10.047	dd27aaf54d38ab1ba630aded77e41074a8ece1e925e9fbe0bffb31cfc2e621bf	99.39	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	29	15	7	5	9.948	dd27aaf54d38ab1ba630aded77e41074a8ece1e925e9fbe0bffb31cfc2e621bf	98.77	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	23	12	6	5	9.871	83c792a1932a2a9b778a5255fdd30849af9fd0fa028e70665b1f49ad98abf3da	98.77	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	23	12	6	5	9.905	83c792a1932a2a9b778a5255fdd30849af9fd0fa028e70665b1f49ad98abf3da	98.77	78.05	89.02	89.02	82.93	95.12	94.44	84.78	88.31	23	12	6	5	10.037	83c792a1932a2a9b778a5255fdd30849af9fd0fa028e70665b1f49ad98abf3da	99.26	77.56	88.78	88.78	80.49	97.07	96.5	83.26	87.77	9.26	5000.0	109800.0	0.0	0.01	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	26800.0	506.787	("f4094561cac29d541f28c7d80330671bc54fd2230bb1b19e7f277b734ce71b59", "af4a59d71da9397663b1123cf07331fbf4c181d7d9efe29407b5729840adad48", "5af7c77c42b1727102e04f811642605884bd9faa0d06ac7c7798aa2d21eff19c", "87e5549413d41015fef619f60c3f47d9b6cd41e767928ee8cb7556b3726415d0", "8c7610b32c91924ff078e347ac90c3a309114426d0904c6eaa79f71f27ce8ba0")	
6	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	31	16	7	4	18.673	bc367a181f2d2694f2c0a8a69f95d4d069695daaea03665583458873b28d1c97	99.39	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	31	16	7	4	12.452	bc367a181f2d2694f2c0a8a69f95d4d069695daaea03665583458873b28d1c97	99.39	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	31	16	7	4	12.361	bc367a181f2d2694f2c0a8a69f95d4d069695daaea03665583458873b28d1c97	97.24	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	27	14	7	4	12.357	997a1c9f61afcc36bd000dc9395c94bee4b30806920b92303a333ce475be11f1	97.24	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	27	14	7	4	12.375	997a1c9f61afcc36bd000dc9395c94bee4b30806920b92303a333ce475be11f1	97.24	78.05	89.02	89.02	90.24	87.8	88.1	90.0	89.16	27	14	7	4	12.372	997a1c9f61afcc36bd000dc9395c94bee4b30806920b92303a333ce475be11f1	99.39	90.24	95.12	95.12	92.68	97.56	97.44	93.04	94.99	10.67	5000.0	110200.0	0.0	0.03	0.01	0.01	0.03	0.0	0.0	0.02	0.01	0.01	0.0	43200.0	405.967	("ae2b7549b7b873115e9b99d85c3fcd23a79756b4ffd14172866ef54e192d4e1e", "5f7988a47e0cc98511132e23b8e181d33bef2a75e3ac0bf084b0b535f4abc486", "4632f7db0a1bd840b73760d30b2d7f19bee42b95d216a0a35334dd7a6c4743fb", "c8fe4745810e4966e05468d961e653e4da101c806fdc639f291edb5e2bbda050", "584328ae93c75ae052ee6edd12c5c6be7b1b91047acc683c2db1dba17068ef31")	
7	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	33	17	6	5	13.628	2420dfb4f8d7129fa455e5d1b93d50136b8199a20226740c1fec140668592e52	99.39	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	33	17	6	5	9.253	2420dfb4f8d7129fa455e5d1b93d50136b8199a20226740c1fec140668592e52	99.39	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	33	17	6	5	9.233	2420dfb4f8d7129fa455e5d1b93d50136b8199a20226740c1fec140668592e52	97.55	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	27	14	6	4	9.174	55cb199326fd6a94bdd228a3dca596d84d9ee46dbe569757920e06d730888e86	97.55	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	27	14	6	4	9.225	55cb199326fd6a94bdd228a3dca596d84d9ee46dbe569757920e06d730888e86	97.55	68.29	84.15	84.15	75.61	92.68	91.18	79.17	82.67	27	14	6	4	9.167	55cb199326fd6a94bdd228a3dca596d84d9ee46dbe569757920e06d730888e86	99.2	79.51	89.76	89.76	84.88	94.63	94.05	86.22	89.23	9.69	5000.0	108560.0	0.0	0.29	0.07	0.07	0.07	0.07	0.09	0.06	0.08	0.01	0.0	9880.0	401.679	("54645bc7888a06b69af8cd5344def857ca68555d0261226046a174a83145d12f", "1f04941f8b3899ece4567931311cec17f72ba75c5cda3a632025c42db116ad4b", "07b8bc272efc423b9b8bd3ce4038826336c2d59da9626906603300fd5c66401e", "79b1090e070cb575af5d7b346b67890a20c2538a7a45dc7275bfeb5ee0c6aa34", "98258faf68f6b4f83364c576199ca491560ec66a2afb87f9ecb52a82b61cecc3")	
8	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	65.85	82.93	82.93	82.93	82.93	82.93	82.93	82.93	27	14	6	4	13.602	187b78f5c1f8509bc44f9d4028a27f8ac076ea96a5f89738bbbd89b8dbc28280	99.39	65.85	82.93	82.93	82.93	82.93	82.93	82.93	82.93	27	14	6	4	9.608	187b78f5c1f8509bc44f9d4028a27f8ac076ea96a5f89738bbbd89b8dbc28280	99.39	65.85	82.93	82.93	82.93	82.93	82.93	82.93	82.93	27	14	6	4	9.585	187b78f5c1f8509bc44f9d4028a27f8ac076ea96a5f89738bbbd89b8dbc28280	97.85	70.73	85.37	85.37	82.93	87.8	87.18	83.72	85.0	25	13	5	4	9.527	55db58aa622f088cfb4b6c6cfab3ef322e0f3c6c984549c88487b9d29f9d8bca	97.85	70.73	85.37	85.37	82.93	87.8	87.18	83.72	85.0	25	13	5	4	9.53	55db58aa622f088cfb4b6c6cfab3ef322e0f3c6c984549c88487b9d29f9d8bca	97.85	70.73	85.37	85.37	82.93	87.8	87.18	83.72	85.0	25	13	5	4	9.641	55db58aa622f088cfb4b6c6cfab3ef322e0f3c6c984549c88487b9d29f9d8bca	99.45	80.98	90.49	90.49	84.88	96.1	95.63	86.41	89.92	9.02	5000.0	108360.0	0.0	0.13	0.03	0.03	0.04	0.05	0.06	0.03	0.04	0.01	0.0	58080.0	412.298	("1dab0298dcbe78421aa732fc54c35f3e5d87e58dfd07d766d511442b4c79291a", "39ceb20ce572a71d9a43a26fcbf983c0511c06723c2764a4f58768a5dec66309", "a46fbba5ee732b4137331c6e5d746021e207e2b0736676e817d33514c61b6d25", "826fd5d908ff7a0833387251eedd764f7e3c4a3c4bebcd9546194ee44fbf5f19", "1b65a7361eed41252d24982d40ebab98b13c16efaeecd705f8e7e4f448ce8589")	
9	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.69	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	25	13	7	7	14.37	4984cc427acc2411a5324af1b839045a73dd5d0f3e1b2152dccc9bc8334f494c	99.69	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	25	13	7	7	10.871	4984cc427acc2411a5324af1b839045a73dd5d0f3e1b2152dccc9bc8334f494c	99.69	75.61	87.8	87.8	85.37	90.24	89.74	86.05	87.5	25	13	7	7	10.864	4984cc427acc2411a5324af1b839045a73dd5d0f3e1b2152dccc9bc8334f494c	98.16	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	23	12	6	6	10.863	04df1e21ed876bdf6e7f8e2491cbc5430e0e226da5d3edf45d6569aa1fa34054	98.16	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	23	12	6	6	10.859	04df1e21ed876bdf6e7f8e2491cbc5430e0e226da5d3edf45d6569aa1fa34054	98.16	80.49	90.24	90.24	85.37	95.12	94.59	86.67	89.74	23	12	6	6	10.853	04df1e21ed876bdf6e7f8e2491cbc5430e0e226da5d3edf45d6569aa1fa34054	99.45	81.46	90.73	90.73	82.44	99.02	98.86	84.94	89.89	9.69	5000.0	101160.0	0.0	0.02	0.0	0.0	0.01	0.02	0.02	0.01	0.01	0.0	0.0	101480.0	415.376	("5d89f3b4e25be05a7aa92aeb254ce6d2e882a60bb9e8965666230bbd5e25d65b", "41d1515ba43e2fdddcb1c51a55c1e5e143ac920ec7046136d35ee19b04339095", "5be86f912fe2972eb8388c12e96db02abd687b6570ce89a99240f2ed5e26b458", "5c97e90169a17c74e3fce6c98a8a47d94af0d0fc2393f79e3b7b5528fa343b10", "5e760e1320737c2c4ff8a67a15ab06d3ba7dcd7847ff25d3941bfd02ad785b92")	
10	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",2,true,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	326	82	(163, 163)	(41, 41)	[60]	[(26,)]	99.39	73.17	86.59	86.59	82.93	90.24	89.47	84.09	86.08	27	14	6	5	15.154	fbf9daac0c8b7ad4af24fef09e6d4723673cb9ddabd55ab92d44191016e96763	99.39	73.17	86.59	86.59	82.93	90.24	89.47	84.09	86.08	27	14	6	5	12.627	fbf9daac0c8b7ad4af24fef09e6d4723673cb9ddabd55ab92d44191016e96763	99.39	73.17	86.59	86.59	82.93	90.24	89.47	84.09	86.08	27	14	6	5	12.635	fbf9daac0c8b7ad4af24fef09e6d4723673cb9ddabd55ab92d44191016e96763	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	25	13	6	5	11.8	9f7205e1847fe3ec4997dfb2effd0afebe430a1dca26b1718a6d8f498e605ef7	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	25	13	6	5	11.793	9f7205e1847fe3ec4997dfb2effd0afebe430a1dca26b1718a6d8f498e605ef7	98.16	68.29	84.15	84.15	82.93	85.37	85.0	83.33	83.95	25	13	6	5	11.835	9f7205e1847fe3ec4997dfb2effd0afebe430a1dca26b1718a6d8f498e605ef7	99.63	77.56	88.78	88.78	82.93	94.63	93.93	84.71	88.09	7.98	5000.0	105040.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	54280.0	470.017	("4ca98f478169c1b3bb9bcb527858c9607fdbbdc31a7b3abd46cb98f422b96472", "b7d91795ac875e984b651eb3e0f17af133706a8ff898497570e0e5b80ab70ba7", "193063c24e6442ac3ef547ed7d79b7f5d346ff4cd409c8a133652baf83d2d784", "1b92042615347a1fa68aa74c094300b56a6ba5a5535c34a28e8bba144bec217f", "007f3f5549cebd6ff96e39588675df3913cd8b0e7144be1012671ebfe23e7d98")	
