Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
7	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.35, 96.62, 216.794)	
8	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.83, 99.51, 97.53, 89.626)	
9	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.34, 96.66, 103.988)	
10	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.69, 99.51, 97.5, 97.391)	
1	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.66, 99.34, 96.64, 2442.48)	
2	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.61, 99.5, 97.5, 1961.13)	
3	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(94.0, 95.0, 95.0, 99.0, 95.52, 99.03, 94.91, 438.311)	
4	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(93.0, 94.17, 94.17, 98.83, 94.95, 98.86, 94.19, 121.899)	
5	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.41, 99.67, 98.33, 113.235)	
6	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.34, 96.66, 62.294)	
7	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.35, 96.62, 263.572)	
8	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.83, 99.51, 97.53, 62.349)	
9	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.34, 96.66, 77.197)	
10	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.69, 99.51, 97.5, 82.518)	
1	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 89.8, 98.69, 89.43, 9.328)	
2	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.38, 98.62, 88.9, 10.27)	
3	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(80.62, 82.78, 82.78, 97.85, 83.29, 97.85, 82.79, 10.884)	
4	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 92.16, 98.97, 91.66, 9.23)	
5	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(86.25, 87.78, 87.78, 98.47, 88.56, 98.48, 87.88, 9.199)	
6	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(80.0, 82.22, 82.22, 97.78, 83.29, 97.78, 82.39, 8.825)	
7	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(89.38, 90.56, 90.56, 98.82, 90.61, 98.83, 90.47, 8.896)	
8	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 91.72, 98.97, 91.57, 9.154)	
9	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(88.75, 90.0, 90.0, 98.75, 91.15, 98.76, 90.14, 9.092)	
10	((1,7),false,"o_None","TestOpGeq"),100,-1,PaviaCentre	(81.88, 83.89, 83.89, 97.99, 84.94, 98.01, 83.63, 9.051)	
1	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(42.5, 48.89, 48.89, 93.61, 50.45, 93.62, 49.12, 114.108)	
2	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(38.12, 45.0, 45.0, 93.12, 44.91, 93.14, 44.64, 105.255)	
3	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(47.5, 53.33, 53.33, 94.17, 53.76, 94.21, 52.72, 114.903)	
4	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(36.25, 43.33, 43.33, 92.92, 44.89, 92.93, 43.36, 120.753)	
5	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,PaviaCentre	(42.5, 48.89, 48.89, 93.61, 48.98, 93.63, 48.6, 111.98)	
