Dataseed	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_task_use_aug_n_ver_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
3	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	93.7	33.92	66.96	66.96	61.4	72.51	69.08	65.26	65.02	191	95.813	b4654323ddb5487159305f2ca60cddccac78b89f0245e404ec7750293b152bea	90.1	32.75	66.37	66.37	60.82	71.93	68.42	64.74	64.4	139	73.806	74fd40414fc2923d4379023b2e852912d285e6f488dd388a1e22e4319cc180ef	78.74	30.99	65.5	65.5	54.97	76.02	69.63	62.8	61.44	59	53.658	7065b1d6810f0b84f2ccbdd20024cf0473490820ed661b552202463a380ef723	92.96	34.5	67.25	67.25	61.4	73.1	69.54	65.45	65.22	177	73.863	226f421ee1eaec5f8d1d60c2e23e06ba87fcee179a7c21632e31e8c98b525802	89.74	34.5	67.25	67.25	60.82	73.68	69.8	65.28	65.0	135	72.843	3f24331d587b9b48817ebf3753cefa04a33e1212c391c023714193d37600128f	78.74	30.99	65.5	65.5	54.97	76.02	69.63	62.8	61.44	59	53.857	7065b1d6810f0b84f2ccbdd20024cf0473490820ed661b552202463a380ef723	99.88	51.35	75.67	75.67	68.3	83.04	80.17	72.4	73.73	26.41	885920.0	0.0	0.21	0.05	0.05	0.09	0.1	0.1	0.05	0.06	0.01	155920.0	5758.101	("86dd05fd9ddf14727a318d1233258064de6184c1070aa2342382ad92fd4e1936", "6e86ac2db05c58b8f86b87d8393c0caa0b345ed008ed566dec56780c2d0a8c4e", "a3677ba17853447d1911c8d86ca2f0d38f6d5fc74f68155f4a481d9c57d5f12d", "22b085faa7fffacbb5f03aef073c8daa366feebe147e55532f9d7ff024b2dd86", "2da88e203959fda6c9a95d5a199dcce7f5765669070923f77fadcef1e9b08e29")	
4	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.72	38.6	69.3	69.3	71.35	67.25	68.54	70.12	69.91	189	79.779	f90e79ff75fff94a7080c9f434ac395f29054d016d695c47bc0ea2ef8e43d499	87.9	35.09	67.54	67.54	73.1	61.99	65.79	69.74	69.25	115	52.17	33cdc38879d80bb40db2fd2980b2047749e4d9b7e641b29b1ef83639ed53c8e7	80.94	33.33	66.67	66.67	70.76	62.57	65.41	68.15	67.98	63	45.039	b680676bb0a55e1eddfe5e3c8943c91fbfa2ca8ea9f6317f2aecc01f392283b2	94.13	36.26	68.13	68.13	69.01	67.25	67.82	68.45	68.41	177	54.658	e313d8ddef8fd3530edbb0da6a492abb49fc7194c7af59a681e5a212f373e51b	87.76	35.09	67.54	67.54	71.93	63.16	66.13	69.23	68.91	117	51.048	c974b80d9414b7167988c58fca687a57385f3dc175023064e0a22facfcaecc0c	80.94	33.33	66.67	66.67	70.76	62.57	65.41	68.15	67.98	63	45.059	b680676bb0a55e1eddfe5e3c8943c91fbfa2ca8ea9f6317f2aecc01f392283b2	99.88	52.51	76.26	76.26	75.67	76.84	76.59	75.94	76.13	25.61	873040.0	0.0	0.13	0.03	0.03	0.01	0.06	0.05	0.02	0.03	0.0	179080.0	6346.874	("dc04edd6282235e7f33ee6953ce51a6147feb52fa6a690c5a69ae99e26362d78", "f1cceecd27c7e3f7f6f33dda76ad6fbae834d3f30464e86fa851d37f4f2d2f16", "b76b8846fd4902bb852632d24faa1c2ee8ed3e8b646a98ee91c567b3adb5deae", "716ad2b60e38bdc898b24551f1e55c3401b45ad882ade90de086418ea719764e", "7e2074522de888dc739369eaf92740d05fc70f43c578e321775d702be2621345")	
5	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.16	28.07	64.04	64.04	65.5	62.57	63.64	64.46	64.55	201	78.557	8990c7b9eee2ba9d1d94f59e4612873402e361b6df1790be01ed419cb32e7c0b	91.13	28.07	64.04	64.04	64.91	63.16	63.79	64.29	64.35	149	69.676	f8780aa1530e91ed450f58554617a2a42a7d379ec3f1d0c9b0a9bbd31fa5eabb	79.47	19.88	59.94	59.94	60.82	59.06	59.77	60.12	60.29	57	56.614	e2ea03f9169adacfbaf668e4b650ae1635823cf7ef3fdfd4d217a0fd585936c9	94.35	25.73	62.87	62.87	65.5	60.23	62.22	63.58	63.82	179	69.398	3b4c26eb49ed156f2f2f9834a165eb1d45d91f84f15280101e620a2989720047	90.62	28.65	64.33	64.33	65.5	63.16	64.0	64.67	64.74	141	68.669	be780470ed97eda16a9f1eeb987edd098e5f274de95ebb20cdc3a11afa656d82	79.4	19.88	59.94	59.94	60.82	59.06	59.77	60.12	60.29	57	57.323	0c2ade70f5f059ea613a58b6a893361f7d2663ae1c9c47222eb0d98cfa8d9dcb	99.87	49.12	74.56	74.56	69.36	79.77	77.43	72.29	73.14	24.52	872120.0	0.0	0.06	0.02	0.02	0.09	0.03	0.01	0.03	0.03	0.0	225720.0	5896.941	("26d9a1462566594f23a274d2e35c5446e725b9b271ef39f7fdf9a808b7bbcd65", "22957da447d5d91d1da9d93c43b3badab66e700c3afe94cefc306b9ba8b9391d", "49ad40c3c6843d97d1857857570e1b8c927f6be383859bcba87b36ec207235cf", "4a0cce8f01e4568d1d382612650ac2b5d9ffae65d22b0d887632573323c999d0", "cc37b0869c7e0f248656113097e3b12a6105e1e68b6154be2e3757812e8a7fa1")	
6	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.72	35.09	67.54	67.54	66.08	69.01	68.07	67.05	67.06	205	55.232	99279a64d11305c94125ccfc0ab2e62bd6bb4c875a0bbd191e22f67598a2f6dd	91.28	33.92	66.96	66.96	67.84	66.08	66.67	67.26	67.25	155	50.023	7542b8ae9b4dd76b609ad1e0b5fa9c76197287b0b81758c92d3c34762a7fad2c	78.81	27.49	63.74	63.74	63.74	63.74	63.74	63.74	63.74	59	39.681	757f8bd679da29fd7485b2cdc10870baf350675e40bf5465b5d3e234861e31a7	93.84	31.58	65.79	65.79	66.08	65.5	65.7	65.88	65.89	181	50.066	c392bf287c0e5c07af6524044bd80c36803163c9c3a980eb25fce67a796b09c0	90.91	34.5	67.25	67.25	69.01	65.5	66.67	67.88	67.82	145	49.011	23f85c5d73d7ad78c553c9d50832f28ca3825877f10395b0e8c662aa24076e8f	78.81	27.49	63.74	63.74	63.74	63.74	63.74	63.74	63.74	59	39.664	757f8bd679da29fd7485b2cdc10870baf350675e40bf5465b5d3e234861e31a7	99.96	50.99	75.5	75.5	68.89	82.11	79.44	72.51	73.78	25.69	873880.0	0.0	0.12	0.03	0.03	0.01	0.08	0.08	0.01	0.02	0.02	37120.0	5966.801	("1d7e58623c276f2370a166500e4aeef5fea6d6a8b4a7d044f1d63c3a02a3e3e8", "bbed8ffef75cbb4ff36d9ff363eb93a69f9a1dd6000108ded235c3d69286f50d", "85daf036a0c4f056361d052c46b4a81f290983c2a46fa2db9e22555353f8d639", "40fa724cd1c989b4f08b0eec9877e5e027f2069627392375912c85e809334577", "8a2165f3bf9b1ce073a279d516c29bdd5de3bfd81f4c1ad28364f0176f92fe33")	
7	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.28	36.26	68.13	68.13	76.02	60.23	65.66	71.53	70.46	183	60.809	91ea42c7cae63c9bbb5069adfbcf9e040144c60489dd5bbe52ca68776b4b102b	88.64	36.84	68.42	68.42	76.02	60.82	65.99	71.72	70.65	123	54.984	6170eef329c954bad0554859379b9ae424cec08d2ef2db01afcbca30bb15f201	81.23	38.01	69.01	69.01	71.35	66.67	68.16	69.94	69.71	75	50.125	e954c833afb76a0b969031a3f5889546603ac7a7adba0414e1a43ce046f98946	93.7	34.5	67.25	67.25	77.19	57.31	64.39	71.53	70.21	171	57.378	206552b17af8c972b8f507e8fadb56a5a60a03e0f93531e6e6999b31b2f5ff74	88.49	36.84	68.42	68.42	76.02	60.82	65.99	71.72	70.65	121	54.36	40548b4581e068055753c8f6f686f32d41d70999f0b8d8548c3367064a21f520	81.23	38.01	69.01	69.01	71.35	66.67	68.16	69.94	69.71	75	50.683	dd360517ef50fbecc473b77f8e111c7f8745504af7d7eea8b2b1df029876807a	99.82	52.28	76.14	76.14	76.26	76.02	76.07	76.27	76.14	25.15	873600.0	0.0	0.18	0.05	0.05	0.13	0.04	0.03	0.08	0.06	0.01	749400.0	5794.778	("3c8cf60a90272d3a48766b54a41b549494c9970250f7a7de0a785e929ce57746", "fc08570b38d8b195d835fc14e0be42cef2b7342952ce45aad46a498b92da40c1", "c180b84456d6c2d333b331c66442ec6ae52e8fef5cc2561e31d9c5a85669bb5f", "86f4696df0b736d0ec67399fab2bffb4f4e4e99e265179cbf3cfffe6cccacadf", "76807f1367adf5e40e8133063f74f07a39a27be49a8dab9ad88a1c1c98abdf60")	
8	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.94	29.24	64.62	64.62	66.67	62.57	64.04	65.24	65.33	183	60.153	0ec717a4640338d1fdd68ab383b27178aaeb30711e778dc9c934dfde9cf2cd35	89.59	30.41	65.2	65.2	68.42	61.99	64.29	66.25	66.29	135	56.236	9a46c3301f52ae7a8d0e75ea4e73ac34c5eac7295e48124090a04ad83abb552d	81.82	29.24	64.62	64.62	63.16	66.08	65.06	64.2	64.09	75	48.508	5473b61f0f8ef9bbe7e7206375047c6e785e3592a4ca3458df252b49ed2b4ad2	94.21	29.82	64.91	64.91	66.08	63.74	64.57	65.27	65.32	187	56.511	c01ee00ed20d819288de45703d9c3fb9d6f3d57099d891790b2cc45f92fef631	89.0	30.41	65.2	65.2	68.42	61.99	64.29	66.25	66.29	133	55.417	69d54333a49018f4a39aef5f4b48e1770127b8b6875a9f52882a59a24f533538	81.82	29.24	64.62	64.62	63.16	66.08	65.06	64.2	64.09	75	48.42	5473b61f0f8ef9bbe7e7206375047c6e785e3592a4ca3458df252b49ed2b4ad2	99.91	50.99	75.5	75.5	74.5	76.49	76.06	75.02	75.25	25.9	881880.0	0.0	0.01	0.0	0.0	0.03	0.06	0.02	0.01	0.0	0.01	254520.0	5635.619	("2dfd0376a4d51c2705aa17a2218cc86bc2ef1167f4812279747186b901f11c95", "82c20d13b422670f93711ec74b04a6ad3165f39956284cc2531910949849e4cb", "f49690566adb90312013c17fd2e055e684a9bf39d12f9fc7cb02542354a83657", "1fe09f88c1d3f2b47bc4df0f6ccc337d8a197cdcdfbd36eec339844463db3e4d", "4a385045b75960fcc5787293f34daa9915085867728ee841925161f589799282")	
9	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.21	27.49	63.74	63.74	63.74	63.74	63.74	63.74	63.74	175	61.657	5edc00f3ed2e68fb3d29428908eb76dcd8b7436214192124df8d5a7c00a5ac58	86.8	22.22	61.11	61.11	61.99	60.23	60.92	61.31	61.45	107	56.1	a14f6a443a7b4e5acd4893ceaef70d11f520a397094b6eda596a5db449ba703d	78.15	22.22	61.11	61.11	64.91	57.31	60.33	62.03	62.54	39	44.616	629df234095e2187895f9feadcc8606b1a0abce3b6f745b3a6e4405345d819cb	92.96	29.24	64.62	64.62	63.16	66.08	65.06	64.2	64.09	165	58.893	0f80aa47088447a97d69619f3863378751ce9b926c98171ca2b04d7e120d60a7	86.73	22.22	61.11	61.11	60.82	61.4	61.18	61.05	61.0	107	55.397	5de5187b3966196d6e4183f4875a194888108f8af4a9d4aa7e4142b86081b1aa	78.15	22.22	61.11	61.11	64.91	57.31	60.33	62.03	62.54	39	44.7	629df234095e2187895f9feadcc8606b1a0abce3b6f745b3a6e4405345d819cb	99.93	47.6	73.8	73.8	68.54	79.06	76.63	71.55	72.34	25.19	872080.0	0.0	0.04	0.01	0.01	0.04	0.04	0.02	0.01	0.01	0.0	577720.0	5916.004	("35c30dbde7ddbf50f26fc46e705f56f7b0b9ddffee3fe461fc89b108102c865b", "507d7c4eb2c9692694612ed575dd8dbe7c149409359ec299188bd9ce5cf803cf", "4a5d3ef337ae951b6f04c99b8f8e823c581cb5dbfde8bfff45a3d0111523f807", "e3dc140e4c4c11365c1d7c41fca44a43df32c56da857502f4787dfe3396bebab", "221ada32dbab6f7863e456fac5601708cfd5aeaefbbae0c3ea627d2aef368544")	
10	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.45	42.69	71.35	71.35	71.93	70.76	71.1	71.6	71.51	209	56.284	e08f59d8d5aaa93336009e23978e73a0e62f91234ce11716592f9fa1724c77a6	92.45	43.86	71.93	71.93	73.1	70.76	71.43	72.46	72.25	161	52.605	39d804cbab283be6995703e3b1716c7e75873627dc2ff8ee0b6781ac43cefd89	78.74	38.6	69.3	69.3	71.93	66.67	68.33	70.37	70.09	57	44.502	014c9fedb21a628d2a29460c837050fcd9fbeaddd45efee06022893e0b70907e	93.7	42.11	71.05	71.05	71.35	70.76	70.93	71.18	71.14	179	51.469	990e139d5f0ff8697b506feff0663d82d7223d30a25719fbe7ad561a49295ceb	91.35	42.69	71.35	71.35	72.51	70.18	70.86	71.86	71.68	151	50.384	cecd27fd4ae855335e54c8ba699679e31f64890d3d84ece882865ec26e8cc7a7	78.74	38.6	69.3	69.3	71.93	66.67	68.33	70.37	70.09	57	43.299	014c9fedb21a628d2a29460c837050fcd9fbeaddd45efee06022893e0b70907e	99.88	57.89	78.95	78.95	75.44	82.46	81.16	77.13	78.15	25.71	877840.0	0.0	0.14	0.04	0.04	0.15	0.05	0.03	0.07	0.05	0.0	548280.0	6159.236	("66f877163b768f168112a61206ef85ea27e8554f64fedeafd006f8eb1631e5a5", "12082d972ca173a104b2f05e4a4fc25423f2a8f158f73572622dbe0131562b81", "17c135f2b7cc06304d3a4fa3ff1a33c15bebd77884d17f673601c834159583bf", "36cec4216eb5fc6b58b8acd215c3d75b7c183ca1913b5b577a5325b6138e65d9", "4a71c8080e2a450649d79fb8edaf47a03b499578a7071ad5b615582862e2013d")	
1	fcmel	8000	false	stump_with_memoization	(2,true,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	96.34	71.43	85.71	85.71	80.95	90.48	89.47	82.61	85.0	25	3.622	b09a8ab11d76d10a9473f331bc677eed964f2db6951b8b0a22be19d312d4d09f	93.9	61.9	80.95	80.95	71.43	90.48	88.24	76.0	78.95	19	3.046	976af3d0761b83ecfb1c3376e6ba3888584fe6b4927ae25a7277eb510c4a9bfc	90.24	52.38	76.19	76.19	61.9	90.48	86.67	70.37	72.22	15	2.636	b9b8e2a6597fd02579442f02ece3246c4a57c2c366c07ec879fdf54e2d3623b0	96.34	71.43	85.71	85.71	80.95	90.48	89.47	82.61	85.0	23	2.283	0716c431ead87470a28ce47eda53eb55715d514d2a92ba83ec6830de9eaafe83	93.9	61.9	80.95	80.95	71.43	90.48	88.24	76.0	78.95	19	2.41	976af3d0761b83ecfb1c3376e6ba3888584fe6b4927ae25a7277eb510c4a9bfc	90.24	52.38	76.19	76.19	61.9	90.48	86.67	70.37	72.22	15	2.235	b9b8e2a6597fd02579442f02ece3246c4a57c2c366c07ec879fdf54e2d3623b0	99.39	83.81	91.9	91.9	86.67	97.14	96.89	88.03	91.43	21.95	124120.0	0.0	0.18	0.05	0.05	0.16	0.07	0.08	0.1	0.06	0.01	26720.0	39.274	("6b0ba425cf121b9ae16e02231048860bce38b6789f7a33348be223e3d143a9a5", "a7776f3a5e9451371b0c0201c7680d45fc992aff5b01a72c7d4f5062058f8c24", "b22c262d1c128ddb88d2acd2e35c3340352da30e611c0798e5901eb3d14af4fb", "64b7107109f5993e6eb0d446efcd82d9e47cb12364bf0969ed94d21d214b1ca1", "09b8bd6d0165b7691845c7c7706c839c477c395c90f163ae1209c08239a59eea")	
2	fcmel	8000	false	stump_with_memoization	(2,true,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.12	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	23	0.839	21b651d1a8db530c7bdfe91caa140550f894ab60256aed36d88d42284d1b280b	92.68	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	21	0.596	01a58147678cb744f0b57b4a52e3b64f27f49e82aa57a4a36be4fd5cc9b2fa17	92.07	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	19	0.582	88ec964806b408f68dd64e3ce6cd9be877e170524d2c166a97754d2268b287cd	94.51	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	21	0.696	559960c9c2cd8cfd3c0d7218dab08b4abe56b64d110cf5adc6c5f00e2792e3a2	92.07	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	19	0.582	88ec964806b408f68dd64e3ce6cd9be877e170524d2c166a97754d2268b287cd	92.07	71.43	85.71	85.71	76.19	95.24	94.12	80.0	84.21	19	0.551	88ec964806b408f68dd64e3ce6cd9be877e170524d2c166a97754d2268b287cd	99.63	70.48	85.24	85.24	72.38	98.1	97.5	78.03	83.06	17.44	120360.0	0.0	0.16	0.04	0.04	0.05	0.07	0.12	0.03	0.05	0.05	24480.0	34.347	("0bdbbb4fc50c67b163b0afc51f7870f2eb5740a778d15c86821b0d359598b63b", "575a4cb6b32cbd0e99048fda4d30e657441e65f651ded3437bf32a9610bd2f1d", "97ba848a6c5a5cef1216d85c5d65ad577fd011a8ec823a059131089a37f43884", "80a1612daa4c78569d0ac9cf11f110f3b80943a5ec9e1ffad537e7f242287246", "502335b7bfa01eea1e010b2ebb4cad5c62b1a9bc2db64e5f7102cf49f28fe885")	
3	fcmel	8000	false	stump_with_memoization	(2,true,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	98.78	38.1	69.05	69.05	61.9	76.19	72.22	66.67	66.67	27	2.286	b2b0e4a2963584c5304889b25ab01813c8e7c49bec040260db496b442e6ca740	90.24	33.33	66.67	66.67	66.67	66.67	66.67	66.67	66.67	21	2.051	f51e2e3e0d766348ac8798c59ee11afedb322de97358a436a210167728d4a179	78.05	38.1	69.05	69.05	66.67	71.43	70.0	68.18	68.29	5	0.656	390b7042941a684aed4e26f9fb53fc3d56a672b40657838a8eb59b23cdbea331	95.12	42.86	71.43	71.43	61.9	80.95	76.47	68.0	68.42	23	1.564	804b49d8917daf4f63d87b7f363158a7298f68f531979fd5b5294b3a2843ab17	86.59	47.62	73.81	73.81	76.19	71.43	72.73	75.0	74.42	15	1.308	fac3e1addb610cb6dadabcb79890fe75ad9cc27b202522834fa9b0d3c4f0987b	78.05	38.1	69.05	69.05	66.67	71.43	70.0	68.18	68.29	5	0.658	390b7042941a684aed4e26f9fb53fc3d56a672b40657838a8eb59b23cdbea331	99.88	52.38	76.19	76.19	66.67	85.71	82.38	72.06	73.64	16.46	111960.0	0.0	0.45	0.11	0.11	0.23	0.11	0.16	0.11	0.16	0.02	25880.0	33.149	("6d4fd5ab08627a579f6d76c1db263992de519a4d0225a30bbecb396de03e8ff8", "bc5f6e8eccdab22c242dcf452ed61b196125b01dcbd8cff0450b20845d7ca042", "a0c083b2a32aff67ab55d0ec8d365d37d50863836d8a93449feace12a75eddee", "fc08ccc71bff579e2e0224708004fab1a1cbe918df9bc9479070d5292d8cccff", "789e07a0f3ae44e2d693db19c855c59194076d1254dd0e2ec757b0044afcebd2")	
4	fcmel	8000	false	stump_with_memoization	(2,true,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	96.95	47.62	73.81	73.81	61.9	85.71	81.25	69.23	70.27	25	1.793	81c9b537f3b1e59c2ea7e96fdbabe6aa3a4a5dd9faa35ef2af3bb2ecae3e265b	92.07	52.38	76.19	76.19	71.43	80.95	78.95	73.91	75.0	19	1.214	8924922250ed9597570f7e3c50eae59c6c878cccc4143d7b9d602c582f5cb4c5	85.98	52.38	76.19	76.19	71.43	80.95	78.95	73.91	75.0	13	0.828	f59466ba86bd43ad3ef794e5baeb17d6b524c19fa025dd616b548d08ae42959e	95.73	42.86	71.43	71.43	57.14	85.71	80.0	66.67	66.67	25	1.525	6a7b43c89b09daafd17bcd8a10de8753fcb779d5f497fa5f33b30c9902473b65	92.07	52.38	76.19	76.19	71.43	80.95	78.95	73.91	75.0	19	1.437	8924922250ed9597570f7e3c50eae59c6c878cccc4143d7b9d602c582f5cb4c5	85.98	52.38	76.19	76.19	71.43	80.95	78.95	73.91	75.0	13	0.719	f59466ba86bd43ad3ef794e5baeb17d6b524c19fa025dd616b548d08ae42959e	99.88	72.38	86.19	86.19	75.24	97.14	96.4	79.69	84.5	18.54	120720.0	0.0	0.16	0.04	0.04	0.05	0.07	0.11	0.03	0.05	0.04	48920.0	34.729	("00be3f847186221f9623e5b42c2cca9c0e8784998ea35465d31a63930ca09158", "a03842f07a06cdbd3b3472a010dbe2a90a881380ae4ad99b8160001bdd8de482", "bc4948c5d5c18b743569197fd33855e4ad4a017d7d76d9bde7668b42d7f939dd", "46bf7fa45a95bd373afc06724d9b3debbbe3a07a38a29ada2a8653046baeb511", "2a1e21dd515f8f4d54b2c3437869de9ded4fd430710d20d62d39aaa7af99e724")	
5	fcmel	8000	false	stump_with_memoization	(2,true,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.12	28.57	64.29	64.29	57.14	71.43	66.67	62.5	61.54	19	1.855	415e19e26d3d6922cdffad7441e318581934c297d8c279639247db7cb5d79620	93.29	28.57	64.29	64.29	57.14	71.43	66.67	62.5	61.54	17	1.983	104dfcb1730822e195ef5987617ca43ababf53dd58739575361d219ae6f4a5a0	83.54	19.05	59.52	59.52	66.67	52.38	58.33	61.11	62.22	9	1.031	57ba42507072e75f21be480985c7c3576bf01e1c47c890c255ae5b426004ec5c	94.51	28.57	64.29	64.29	61.9	66.67	65.0	63.64	63.41	17	2.011	b56d88d2c4779a12b2f7e4bf6c71ba3ef1639b15e8f694ebcb4736de5827c517	93.29	28.57	64.29	64.29	61.9	66.67	65.0	63.64	63.41	15	1.732	2dc306b210288f18c1818e699becee9eb579d7bfb5fa0b86e8df866b1201fab1	83.54	19.05	59.52	59.52	66.67	52.38	58.33	61.11	62.22	9	1.061	57ba42507072e75f21be480985c7c3576bf01e1c47c890c255ae5b426004ec5c	100.0	65.71	82.86	82.86	80.95	84.76	84.35	81.61	82.57	19.02	114240.0	0.0	0.27	0.07	0.07	0.0	0.27	0.19	0.01	0.05	0.04	13680.0	40.342	("b7d91030df15a30ca24d3e310a6dfba17b6a2a9d61d170dec0a67051d88464b4", "5d1e5d7521581bc460850a67a730dc73641b10d0c0f74e38f261bea18324aa08", "b3e63480cde5d2397a379312d091df8f2f9e4d3e924d8c838f2c02b9e1333843", "3c0e6952f64e8d45254fe7b43534b3e9692fb61ad240cd254136be31bc48a85f", "1937c1500644e08a1cdeb0fafeff8defca446e55ed4748ea14fb523c39eb7867")	
