	n_task	aug	n_version	dataset_kwargs	Model	accuracy
126	2	1	1	50	T(entropy,4,0.01,0.2)	69.547
127	2	1	1	50	T(entropy,4,0.01,0.6)	74.54400000000001
128	2	1	1	75	RF(100,half,all)	79.72800000000001
129	2	1	1	75	RF(50,half,all)	79.271
130	2	1	1	75	T(,2,0.01,0.2)	71.36300000000001
131	2	1	1	75	T(,4,0.01,0.2)	74.09
132	2	1	1	75	T(entropy,2,0.01,0.2)	71.364
133	2	1	1	75	T(entropy,2,0.01,0.6)	74.999
134	2	1	1	75	T(entropy,4,0.01,0.2)	71.81700000000001
135	2	1	1	75	T(entropy,4,0.01,0.6)	74.999
136	2	1	1	100	RF(100,half,all)	80.90700000000001
137	2	1	1	100	RF(50,half,all)	80.816
138	2	1	1	100	T(,2,0.01,0.2)	69.09
139	2	1	1	100	T(,4,0.01,0.2)	73.635
140	2	1	1	100	T(entropy,2,0.01,0.2)	73.182
141	2	1	1	100	T(entropy,2,0.01,0.6)	75.90799999999999
142	2	1	1	100	T(entropy,4,0.01,0.2)	74.54500000000002
143	2	1	1	100	T(entropy,4,0.01,0.6)	75.90799999999999
144	2	1	2	75	RF(100,half,all)	77.54400000000001
145	2	1	2	75	RF(50,half,all)	76.362
146	2	1	2	75	T(,2,0.01,0.2)	74.54499999999999
147	2	1	2	75	T(,4,0.01,0.2)	68.63699999999999
148	2	1	2	75	T(entropy,2,0.01,0.2)	71.817
149	2	1	2	75	T(entropy,2,0.01,0.6)	68.637
150	2	1	2	75	T(entropy,4,0.01,0.2)	67.274
151	2	1	2	75	T(entropy,4,0.01,0.6)	68.637
152	2	1	2	100	RF(100,half,all)	77.001
153	2	1	2	100	RF(50,half,all)	75.81899999999999
154	2	1	2	100	T(,2,0.01,0.2)	69.546
155	2	1	2	100	T(,4,0.01,0.2)	65.90899999999999
156	2	1	2	100	T(entropy,2,0.01,0.2)	70.45400000000001
157	2	1	2	100	T(entropy,2,0.01,0.6)	70.00000000000001
158	2	1	2	100	T(entropy,4,0.01,0.2)	67.728
159	2	1	2	100	T(entropy,4,0.01,0.6)	70.00000000000001
160	2	1	3	75	RF(100,half,all)	81.455
161	2	1	3	75	RF(50,half,all)	80.90899999999999
162	2	1	3	75	T(,2,0.01,0.2)	73.63499999999999
163	2	1	3	75	T(,4,0.01,0.2)	71.363
