	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
133	7	2	1	1	100	T(entropy,2,0.01,0.6)	77.27	1
134	7	2	1	1	100	T(entropy,4,0.01,0.2)	59.09	2
135	7	2	1	1	100	T(entropy,4,0.01,0.6)	77.27	3
136	8	2	1	1	100	RF(100,half,all)	68.18	7
137	8	2	1	1	100	RF(50,half,all)	68.18	6
138	8	2	1	1	100	T(,2,0.01,0.2)	54.55	4
139	8	2	1	1	100	T(,4,0.01,0.2)	59.09	5
140	8	2	1	1	100	T(entropy,2,0.01,0.2)	54.55	0
141	8	2	1	1	100	T(entropy,2,0.01,0.6)	59.09	1
142	8	2	1	1	100	T(entropy,4,0.01,0.2)	59.09	2
143	8	2	1	1	100	T(entropy,4,0.01,0.6)	59.09	3
144	9	2	1	1	100	RF(100,half,all)	81.82	7
145	9	2	1	1	100	RF(50,half,all)	80.0	6
146	9	2	1	1	100	T(,2,0.01,0.2)	68.18	4
147	9	2	1	1	100	T(,4,0.01,0.2)	68.18	5
148	9	2	1	1	100	T(entropy,2,0.01,0.2)	72.73	0
149	9	2	1	1	100	T(entropy,2,0.01,0.6)	68.18	1
150	9	2	1	1	100	T(entropy,4,0.01,0.2)	72.73	2
151	9	2	1	1	100	T(entropy,4,0.01,0.6)	68.18	3
152	10	2	1	1	100	RF(100,half,all)	89.09	7
153	10	2	1	1	100	RF(50,half,all)	87.27	6
154	10	2	1	1	100	T(,2,0.01,0.2)	77.27	4
155	10	2	1	1	100	T(,4,0.01,0.2)	86.36	5
156	10	2	1	1	100	T(entropy,2,0.01,0.2)	95.45	0
157	10	2	1	1	100	T(entropy,2,0.01,0.6)	81.82	1
158	10	2	1	1	100	T(entropy,4,0.01,0.2)	95.45	2
159	10	2	1	1	100	T(entropy,4,0.01,0.6)	81.82	3
160	1	3	1	1	100	RF(100,half,all)	86.36	7
161	1	3	1	1	100	RF(50,half,all)	84.55	6
162	1	3	1	1	100	T(,2,0.01,0.2)	90.91	4
163	1	3	1	1	100	T(,4,0.01,0.2)	86.36	5
164	1	3	1	1	100	T(entropy,2,0.01,0.2)	72.73	0
165	1	3	1	1	100	T(entropy,2,0.01,0.6)	54.55	1
166	1	3	1	1	100	T(entropy,4,0.01,0.2)	68.18	2
167	1	3	1	1	100	T(entropy,4,0.01,0.6)	54.55	3
168	2	3	1	1	100	RF(100,half,all)	86.36	7
169	2	3	1	1	100	RF(50,half,all)	90.0	6
170	2	3	1	1	100	T(,2,0.01,0.2)	86.36	4
171	2	3	1	1	100	T(,4,0.01,0.2)	81.82	5
172	2	3	1	1	100	T(entropy,2,0.01,0.2)	86.36	0
173	2	3	1	1	100	T(entropy,2,0.01,0.6)	54.55	1
174	2	3	1	1	100	T(entropy,4,0.01,0.2)	81.82	2
175	2	3	1	1	100	T(entropy,4,0.01,0.6)	54.55	3
176	3	3	1	1	100	RF(100,half,all)	85.45	7
177	3	3	1	1	100	RF(50,half,all)	83.64	6
178	3	3	1	1	100	T(,2,0.01,0.2)	68.18	4
179	3	3	1	1	100	T(,4,0.01,0.2)	59.09	5
180	3	3	1	1	100	T(entropy,2,0.01,0.2)	72.73	0
181	3	3	1	1	100	T(entropy,2,0.01,0.6)	63.64	1
182	3	3	1	1	100	T(entropy,4,0.01,0.2)	68.18	2
183	3	3	1	1	100	T(entropy,4,0.01,0.6)	63.64	3
184	4	3	1	1	100	RF(100,half,all)	80.0	7
185	4	3	1	1	100	RF(50,half,all)	77.27	6
186	4	3	1	1	100	T(,2,0.01,0.2)	54.55	4
187	4	3	1	1	100	T(,4,0.01,0.2)	59.09	5
