index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB24normsorted,meannormsorted
11,FC_LocalSimple_mean1_tauresrat,CC,0.013810947785518828,0.015795572710913315,0.015593969239640272,0.015004077985244734,0.015121398496523455,0.015454168438241555,0.01127336766375261,0.012075215656116715,0.01475186563324257,0.01151145146358823,0.014039203507278228
12,DN_OutlierInclude_n_001_mdrmd,B,0.006300132365351968,0.0066281858749223455,0.007078837241314387,0.006333235566397966,0.008721985731880627,0.011402465682436334,0.010460225320706078,0.010073080603233999,0.010461988143109922,0.014822112274188328,0.009228224880354196
13,CO_Embed2_Dist_tau_d_expfit_meandiff,EF,0.007820866516495384,0.009291785604395229,0.009813769396267122,0.007877586726222345,0.010337766156119555,0.008560142921302838,0.008627105188421155,0.008499255447581207,0.008510201260352733,0.006824957392639267,0.008616343660979683
14,CO_f1ecac,FC,0.008695952546292159,0.008171628890444411,0.008067332023188026,0.008771079806824043,0.0072577372430877056,0.004088723250010257,0.0033841466826144075,0.0026828590306674236,0.0038831454578163232,0.004815466900417142,0.00598180718313619
15,MD_hrv_classic_pnn40,PD,0.0040935450635349,0.004296784529215949,0.003553582556864832,0.00429954892491376,0.003012804878816629,0.0022621558322144875,0.0025727640563802394,0.00257075923268659,0.001959269355343528,0.0014652070931744517,0.0030086421523145366
16,SB_MotifThree_quantile_hh,EN,0.001731367580729707,0.001690915739167736,0.0015209488390554972,0.0016734973236537253,0.0011922497178705747,0.001094002291780374,0.0012200878311722447,0.0008514590623528735,0.0013681006930435081,0.0014582989641530161,0.0013800928042979257
17,SB_TransitionMatrix_3ac_sumdiagcov,TC,0.00044699793675535414,0.00042216880312605026,0.000413131095690878,0.00045356527413857096,0.0004273723213792651,0.0004939963551011118,0.0004541621283630134,0.0005296009275228865,0.0004033674003296797,0.0003804980039326833,0.0004424860246339493
18,max_m,MAX,3.21886523429922e-7,2.158078533802868e-7,1.1860685037480965e-7,9.641415997949745e-8,6.028495974071844e-8,3.314498722479904e-8,2.3020036425619255e-8,1.737381074043787e-8,1.2448753919060151e-8,1.4763720485440765e-9,9.004643072636946e-8
19,mean_m,M,1.1597676817500243e-7,8.366327397612426e-8,4.91297089129958e-8,3.438645944129334e-8,2.7403190414854435e-8,1.6410958068848165e-8,1.1793502635765046e-8,8.925630839162595e-9,6.447198170719942e-9,3.493919690045759e-10,3.544860826037706e-8
20,min_m,MIN,3.2329846478379595e-8,2.4404367671347662e-8,1.3855739249012201e-8,8.648327685017735e-9,9.471684671403583e-9,6.501728190009213e-9,4.855275396439737e-9,3.125078603475222e-9,1.9899649582877624e-9,5.57938489939151e-11,1.0523780675236661e-8
