Dataseed	windowsize_flattened_ontology_test_operators	n_samples_per_label	n_attributes	dataset_name	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.3)train_accuracy	T(entropy,2,0.01,0.3)K	T(entropy,2,0.01,0.3)accuracy	T(entropy,2,0.01,0.3)macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_specificity	T(entropy,2,0.01,0.3)safe_macro_PPV	T(entropy,2,0.01,0.3)safe_macro_NPV	T(entropy,2,0.01,0.3)safe_macro_F1	T(entropy,2,0.01,0.3)n_nodes	T(entropy,2,0.01,0.3)t	T(entropy,2,0.01,0.3)hash	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,4,0.01,0.3)train_accuracy	T(entropy,4,0.01,0.3)K	T(entropy,4,0.01,0.3)accuracy	T(entropy,4,0.01,0.3)macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_specificity	T(entropy,4,0.01,0.3)safe_macro_PPV	T(entropy,4,0.01,0.3)safe_macro_NPV	T(entropy,4,0.01,0.3)safe_macro_F1	T(entropy,4,0.01,0.3)n_nodes	T(entropy,4,0.01,0.3)t	T(entropy,4,0.01,0.3)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
6	5x5 avg,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.5	76.88	79.44	79.44	79.44	97.43	80.49	97.44	79.53	73	613.084	4d6001a816e7074e9a6da65015771b0fb183288c6d5503341ab96dfd05e640cb	96.53	76.88	79.44	79.44	79.44	97.43	80.61	97.44	79.48	59	606.821	bdf7b10b1ef60a74b232d16e39cccb1ab68ebef43d2b679db5b2e7d9dee37937	92.5	78.12	80.56	80.56	80.56	97.57	80.57	97.59	80.25	49	602.35	f14dc35675d72d6759e249a384b46a6e640741513f68291987deb13c30502c92	96.67	75.0	77.78	77.78	77.78	97.22	79.23	97.24	77.86	69	608.461	d3ac7f887aceed16b4bd19e7eabd4a00525c1d90fc359ed0109f1aa0572d0383	96.25	76.25	78.89	78.89	78.89	97.36	80.4	97.38	79.0	55	607.15	08a84c7d161e1f54cd157f52a79c0aa0a818546929c6c149452b96f3f0cc8e2d	92.22	77.5	80.0	80.0	80.0	97.5	80.23	97.52	79.74	45	603.625	f5326ec47d3bdb6b71592a63a797332e27ef7f68870ea61965b9aeaadebe5967	99.5	87.0	88.44	88.44	88.44	98.56	89.18	98.57	88.44	12.14	355700.0	0.0	0.02	0.02	0.02	0.02	0.0	0.02	0.0	0.02	0.01	117000.0	10013.067	("59fa17f980e67327fb6afee5d5553f4eac0d85bc5eb5dd237bb5c6f5826967e0", "570b7edfa2ac935c180e01cd62cb5661e799fb1efec4a309080be3fc5a7787c5", "ac22265e38eff9493e1ec2aad8a7a12d850b5bfe02cf0218cc32e887109c32d1", "a600b8ff6227d640db769dec0b92e5d4b0b3c78027c3e5a791845b3c5d81db0d", "57b3508549f5e295c7e80dbb281005cf4a2bf01a936dab28a212a4d7915d9cfa")	
7	5x5 avg,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	96.81	85.0	86.67	86.67	86.67	98.33	87.26	98.35	86.56	69	578.707	f512ec00568214c59b8ce0bc898d3d1f4959f1b760d2efa010033bfb62405020	95.69	83.75	85.56	85.56	85.56	98.19	86.22	98.21	85.45	63	570.552	73d82135ba8e080913c6eeb7153a46aa9119f7e6783dc702c124777bc32f7e3f	90.14	78.75	81.11	81.11	81.11	97.64	82.44	97.68	80.61	41	561.569	aff3420c552a07b3c8b8e2cd1e9405a47b22f797bea40a5f1d62a3ec73279b7f	96.25	84.38	86.11	86.11	86.11	98.26	86.67	98.28	85.92	65	573.655	851181f61001a0a532f094445810534dfbeb9b70477dd632459043625be64e52	95.14	83.12	85.0	85.0	85.0	98.12	85.67	98.14	84.82	57	567.802	5e59e8c764a8393139cf34f75f1b0cf5b7fcf72dd8f6e68827636ff67ae2679b	90.14	78.75	81.11	81.11	81.11	97.64	82.44	97.68	80.61	41	560.9	aff3420c552a07b3c8b8e2cd1e9405a47b22f797bea40a5f1d62a3ec73279b7f	99.69	84.25	86.0	86.0	86.0	98.25	86.21	98.27	85.69	11.92	352500.0	0.0	0.04	0.03	0.03	0.03	0.0	0.03	0.0	0.03	0.0	31000.0	9706.874	("fa7d2160511df2000aa5fd444226660bc9749dfe38761e7514761df83b8d5676", "66bae7eacc809483f84d7084ba199170bf9ea38dd4bde2216b5d014af76551eb", "80957b24ccde23366198a8e822d35a935e23067c6e0cdc271ad1d8e23227091f", "a79d2f7c9f5ccf994cd25cb137f67c8a9b537a64b56661fbcb60b5ab32acc800", "027a693f2661041d3153f8d5d7260b1b495adf0fa40496954bcef51390944f3e")	
8	5x5 avg,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	96.94	81.88	83.89	83.89	83.89	97.99	84.71	98.0	83.85	73	520.107	8c8904408a2c1885115e56c3d601d7f38b54f2541f7bfb909fff3b9b2f524bac	96.39	83.12	85.0	85.0	85.0	98.12	85.77	98.13	85.16	65	515.242	d1e57914d3095e6a2330a181db2894f2fcf3b2c848ed1141230a48eef613be19	89.03	76.25	78.89	78.89	78.89	97.36	79.36	97.43	77.81	43	500.214	237ba87b7512d22d5b09c1940d315594896e7e3ed7b25278a8263a53a85e8f06	95.83	83.75	85.56	85.56	85.56	98.19	86.21	98.21	85.41	63	515.229	c3145d3e36cd091b3029b8c83075d135e9f236ca31693e70ec3c05b216c8c27b	95.56	83.75	85.56	85.56	85.56	98.19	86.16	98.21	85.48	57	514.121	1c9ceec577d458041925038997f3b116906c47006ac062a4c396002bf56f8d24	88.89	75.63	78.33	78.33	78.33	97.29	78.88	97.36	77.2	41	499.852	ac1b8e0c4fa397b0cacaa7ccd0d9996e42c65f5982f7f23d2f75f2a02722b583	99.61	89.63	90.78	90.78	90.78	98.85	91.19	98.85	90.76	12.72	356380.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	239320.0	9795.419	("4e804c756fab60f07d40d4fc09643bd0010824c7afa498f5d12b82c121bba2e9", "8231b8a57c144893deb09577769d502f75e505a5a375c9c8281f1e9f32ae8781", "3f2c205454c6acea31f342c381aae575dad158e829affbdf50a0fb478dea86c7", "820e672522e5e07d30a784302790498855ebc5ff27d6a37f9018d377564de007", "557d875c4d25834b2b872ddc13fd69e434613296924fbf95c1da86ae3c152868")	
9	5x5 avg,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.78	78.12	80.56	80.56	80.56	97.57	80.92	97.59	80.2	75	529.708	b4c0ad5193840f9a81cbe8f9a128a7ba99b29180d9aa74a02b88f411ab6d8b6c	95.56	76.88	79.44	79.44	79.44	97.43	79.74	97.48	78.67	69	526.26	bff58e503bc50ea25e4a020fe197f694ce266176bd094a640ec0d1df555cbf3e	91.25	74.38	77.22	77.22	77.22	97.15	79.21	97.23	76.01	51	520.349	4b055c2deae6e1e3cbf17052f7c1667ba5df18b2c9eb780c636e787609d77ab7	97.22	80.0	82.22	82.22	82.22	97.78	82.28	97.8	81.88	69	528.334	b949361910c5c96149bdf227f062d34cd053cb9a03c7ccb0f69a0a5b7f42bdf7	94.86	76.88	79.44	79.44	79.44	97.43	79.74	97.48	78.67	61	525.913	0669cbff093b4249dd87ae31998c8d4de9fce6be425e2f8df54cb116a41bc0c6	90.83	74.38	77.22	77.22	77.22	97.15	79.21	97.23	76.01	47	518.282	1e42b2ab7439fe8c578253e18cfa3bee9118818da5f1835b80a83f48f35e70d8	99.72	84.5	86.22	86.22	86.22	98.28	86.76	98.3	85.97	11.67	354420.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	175320.0	9370.425	("76ce98d9aa0f9c72df51a1202f1e2231cb3f2101c92fdc4d63da3079733ae9c2", "6d765cf134fe7c3166e39cc18ff7e1116ed43b5490dc32024a8057af480e803e", "b372cea3be7ec27c1a51340e45b76f672ee8f536d0dd66a35b26035fd2253f3c", "7adc28baa73fba2e249947ddade643a0154a2dc3356cc81472e372a37964832e", "ead865e5ae80a9a8ff232076991646e1db6c8eb3df15855e7e560fd0ca1dec38")	
10	5x5 avg,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	96.81	79.38	81.67	81.67	81.67	97.71	81.5	97.76	80.7	83	580.88	a5e9caa8ac8f6098be1de7dda1cb92a5a8f3a501bec13a9c0813e2b593480d5c	93.89	78.12	80.56	80.56	80.56	97.57	80.23	97.61	79.61	59	575.802	4c6598aa2b7d04d6a70870cb47444737fc8c892554a042041f9879cfe4f6da3a	91.39	75.63	78.33	78.33	78.33	97.29	78.62	97.35	77.29	51	577.577	404a38d340e20fb200bfdbaf6c41d37fb13271114794fd4865b9bf593fbfe631	96.39	79.38	81.67	81.67	81.67	97.71	82.04	97.76	80.89	73	581.519	7f713c70b5e09348f543460017d9b932774029c659895cb4d173dc2f15abd9fb	93.61	77.5	80.0	80.0	80.0	97.5	79.32	97.54	79.21	51	575.46	5a591e4b67bad583f260187a1e42a2ad6ace9f55e17f50368b4c94d856ee4627	91.11	74.38	77.22	77.22	77.22	97.15	77.03	97.21	76.14	45	573.81	58b86f454f16d0fd1f541a2adb3af64207aa2cef7250ba9b68c9292a79cb1b27	99.56	87.25	88.67	88.67	88.67	98.58	88.81	98.58	88.71	12.78	355260.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	141080.0	9596.348	("2702c7f8b117ec406279b9d17543adafd3e2477992460459d1e66607b86b70cb", "72d8cdd5b40b7fb84923d59d775b78661f65ca0c261d737edea04543d4596cf6", "abd8867089be0d24c32b34f65d9d4aedb4ee3b25c752832f899b15d988ad866b", "55e6ed106d6575d32853a113a9411f785179c2ef2400c0d84bc7ebeac1cf88b6", "389b08454e4f17a5217f7e0bb5048676338592d313b8ac412abcf220e3315c4c")	
1	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	3.965	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	4.395	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	3.957	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	3.991	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	4.32	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	96.88	97.0	97.5	97.5	97.5	99.5	97.83	99.51	97.49	11	3.974	65d512ebdb1c37c52f4fdf797ff60c43090ef160d7c2b506e2f92f179aaa388f	99.79	98.2	98.5	98.5	98.5	99.7	98.57	99.7	98.5	3.25	91620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4520.0	52.495	("335914c4407b6c26b2caa11d0e3c6a34ba87b20a73dbf590f64f10e32c1d7bec", "39d6db66d713eb3a3f99695a375571b334f4d0a0cc27916fac3f50dc026d9eb6", "a7b88c6d1e6ec0c41e395d790d3fb6c03ed589a9c1a3b74a1f71428ab68680c5", "e758e493b5cd030c3ee8a8a9468a6e1f119d0fe97083d3ff2b6ae958b65f9659", "9008aea97ab2f719d1fdbe78a7961a170ebc655467e77a84df01da850affdb1c")	
2	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.099	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.084	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.102	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.197	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.05	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	96.88	96.0	96.67	96.67	96.67	99.33	96.82	99.34	96.66	11	4.097	d95dd849094cb04071cdc0a778a2deb1f0d655e8651c26e45fd452ce550ec270	99.79	98.6	98.83	98.83	98.83	99.77	98.89	99.77	98.83	3.37	88660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23280.0	47.173	("a6305fd829006792831da89732d31e362ba3baf9ef1f1837672c076a43dbe186", "fc3254a78f9598b6c81ed93e1d2956c008b8bf5890911b4e82cd32d52b5f0f9b", "0e902fe90f94e610874bdbf88245faaae9300ceab18f5c0adba1607e4eb68d9b", "aa89bee3edc979cd0d36cd86f1890f7f5f57dbbd8c12d986ee0b739cde7b5ac4", "0db5d13ee8d63c98761e41d1527961c484ff2d398354702490c1ff2f66f8eea6")	
3	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	3.993	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	4.02	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	4.023	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	4.01	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	4.008	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	97.5	93.0	94.17	94.17	94.17	98.83	94.5	98.86	94.08	11	4.018	5363e8da1986403fd2b9b03e9129f34e6d7e2778eb81f3fa18b187617a881f21	99.88	93.0	94.17	94.17	94.17	98.83	94.36	98.84	94.2	2.92	87820.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	5920.0	46.852	("f3e42f21ee283bd06e7c34508032001b4ff0c7b2b5cf991d202db0699e37cd4c", "5660dde40a1665eaa0a77857caf55fe2a0c847cfe631421371a8b20beb74ea3c", "074918166f1f8f0568075ca5e8930ba152a31644ab332bfd9432a8e3e441d007", "21a359855a3a390c13836ef6d3f6bfb7dfd36dad2ed0850aef9511ee692e1cb8", "82aca14f7565b81562c3704f48b5d29f055720b5fb5865621463e15b3282a05e")	
4	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.142	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.099	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.113	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.119	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.138	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	97.08	92.0	93.33	93.33	93.33	98.67	93.35	98.67	93.29	11	4.113	5e7fe0053890cf0a38e4b53be3c23982ef1d0f11bb8fa77816a28230fd79cc5b	99.79	95.2	96.0	96.0	96.0	99.2	96.27	99.21	96.01	2.75	90140.0	0.0	0.03	0.02	0.02	0.02	0.0	0.01	0.0	0.02	0.0	5680.0	47.122	("512aac79bfcab1f3a31215bda5273e6512dd609983de2c17bbfbc7faa2083e19", "cc10f1929eb4290ed88c83c3474ae181f9e0bb6224f75e33283d3d1a13557395", "f412eead9f7d3bce7006d31dc7de1881c77168e058e648f61409e460edf69257", "9c86c1ec91d2e3a80fb0e38e4c19f8c0ec8f30414af51f453687816e46828737", "6650526bf87d9964d156bb0b9ba5288115053f62e7cf3fc68330a864ac8fa94f")	
5	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	99.17	92.0	93.33	93.33	93.33	98.67	93.53	98.68	93.3	13	4.256	241bfa4e0d515606ac68a4ed4b6226c9836af9538d0a70dcb7dec5d0b81f23ce	97.5	92.0	93.33	93.33	93.33	98.67	93.95	98.7	93.28	11	4.117	e618aeef380c10dacf059081a7d5ef86159b503cb03000d1c1fdb2e24ab90374	97.5	92.0	93.33	93.33	93.33	98.67	93.95	98.7	93.28	11	4.104	e618aeef380c10dacf059081a7d5ef86159b503cb03000d1c1fdb2e24ab90374	99.17	92.0	93.33	93.33	93.33	98.67	93.53	98.68	93.3	13	4.283	241bfa4e0d515606ac68a4ed4b6226c9836af9538d0a70dcb7dec5d0b81f23ce	97.5	92.0	93.33	93.33	93.33	98.67	93.95	98.7	93.28	11	4.065	e618aeef380c10dacf059081a7d5ef86159b503cb03000d1c1fdb2e24ab90374	97.5	92.0	93.33	93.33	93.33	98.67	93.95	98.7	93.28	11	4.057	e618aeef380c10dacf059081a7d5ef86159b503cb03000d1c1fdb2e24ab90374	99.96	95.4	96.17	96.17	96.17	99.23	96.49	99.25	96.16	2.54	86940.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	38280.0	47.511	("2ceff05226c0cb351e3051ee9c4ac045a8984388b24410c8b6c9cabe4aa4c539", "c82f8480f328a2bf002ffee24060e37bfa5e113ea025edd54c068d748ac72076", "0f81c4b60bc83537e9f9122db39024d4b73265ecaa75f5ba9b44ea7e42c0d906", "a362f9b7660d6b81aaf16f021f516bdd1fd236b70b9d3464f1bae159a9fa2501", "1a8872e9a296fdfa235e19c6abf683caa105b93936b729df1b8031708e50061a")	
6	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	98.33	95.0	95.83	95.83	95.83	99.17	95.91	99.17	95.81	13	4.701	974c1a50368327c74fedde0b929734b74c1890fefa08191a71b695b0de9614a7	96.04	96.0	96.67	96.67	96.67	99.33	96.9	99.35	96.64	11	4.547	fd479defdafb2a10a02e0d8c43e5cb8413240f37bfe6b68272e98ae613eb9bc9	96.04	96.0	96.67	96.67	96.67	99.33	96.9	99.35	96.64	11	4.572	fd479defdafb2a10a02e0d8c43e5cb8413240f37bfe6b68272e98ae613eb9bc9	98.33	95.0	95.83	95.83	95.83	99.17	95.91	99.17	95.81	13	4.741	974c1a50368327c74fedde0b929734b74c1890fefa08191a71b695b0de9614a7	96.04	96.0	96.67	96.67	96.67	99.33	96.9	99.35	96.64	11	4.553	fd479defdafb2a10a02e0d8c43e5cb8413240f37bfe6b68272e98ae613eb9bc9	96.04	96.0	96.67	96.67	96.67	99.33	96.9	99.35	96.64	11	4.539	fd479defdafb2a10a02e0d8c43e5cb8413240f37bfe6b68272e98ae613eb9bc9	99.92	96.8	97.33	97.33	97.33	99.47	97.41	99.47	97.31	2.42	90100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9800.0	48.319	("4dec60ea36293a077be44d3f546cf850aa22cedcd9f7dc6b2d346d20fc6b7c77", "51286d9f7eec04e686a2ab366e88d63ef24a003562fc23da6ae88a4af699e181", "7972163a519e5bb463503ef1d5ea6c53db78a79355ff4f3fc5a2a9768339ca17", "096f9edf9747d448de60e57a196ddc6773772097b1b607699e7ed625fa37d008", "30b814fb995930771775e1cf15a606a1306f347b4d024b6c26d66a0ac8d5def8")	
7	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.09	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.174	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.073	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.186	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.052	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	97.5	94.0	95.0	95.0	95.0	99.0	95.25	99.02	94.9	11	4.18	8184055161c67d1a72477596b1d9cfac90aad4e866e20d717fbbe35cbb0a408a	99.92	99.0	99.17	99.17	99.17	99.83	99.21	99.84	99.16	3.08	87500.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13000.0	47.026	("4edf41f966537dabe12cfd6947de5bf922fd628e5b9ccc24cde72cf385f8bcca", "2f1aaf0131565ad8d66de5130156ab7cf8dd1f9df1683fd138cf37282173d6d6", "939292c1d0ba67615e1fec3370f6b9a621df7e3cb30ca8bf492bdb9296b9a8b2", "3535071a56bf37019208b1609716552d9138bae6b9b892600b727e3da7a8d3cb", "f18f147a210c958f463b8976097be8beafbd5bdecb28829de0c755ab2e1f9a6e")	
8	single-pixel,propositional	100	-1	Salinas-A	480	120	[204]	[()]	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	3.993	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	4.153	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	4.011	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	4.045	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	4.137	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	96.88	97.0	97.5	97.5	97.5	99.5	97.58	99.5	97.5	11	4.017	1583583efe137dc479d98dbc7ec18488bc1252c2bf2b4dd6ca539f5823403b6c	99.79	98.0	98.33	98.33	98.33	99.67	98.39	99.67	98.32	2.75	91780.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14320.0	48.886	("84c73b286e7da0e77cffe7de1815bef82d04ac65cedc78280a3785c156f64317", "2b4acda3881df1871cef860da09c5b11ea49522c05de59cbd69203f74c15fd06", "aa0d98e33722a85a251ed61dc2c8c3de33640003beaa81826a3fb8a71fe941ce", "653b5114048be6e4148a0864f9663fd3a641a948a230b25b9f05bc18baa90c54", "bc4132c14815c57b2831d6471b519ca2b6a7c4d15afe364bc47286388f23527d")	
