Dataseed	fake_dataseed	use_training_form	canonical_features	dataset_name	use_catch22_flatten_ontology	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)hash	
2	2	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	2.769	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	0.815	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	0.812	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	1.521	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	
3	3	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	2.639	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	0.578	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.582	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.603	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	
4	4	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	3.485	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	0.605	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.603	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.588	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	92.72	51.69	63.82	65.26	65.26	87.79	62.83	88.13	63.52	71	36	9	0	0.242	6b1426f5ab2d467f78bf32ab739b2933e151b94f3680c76081299a83a364fe9a	92.72	51.69	63.82	65.26	65.26	87.79	62.83	88.13	63.52	71	36	9	0	0.25	6b1426f5ab2d467f78bf32ab739b2933e151b94f3680c76081299a83a364fe9a	85.43	47.3	60.53	61.84	61.84	86.7	61.43	86.74	61.52	49	25	7	0	0.246	ac4aef92fb2c17c0021c0e6840ead74de55a5bcb9f85f7f71cf94ffcc71cabbc	85.43	47.3	60.53	61.84	61.84	86.7	61.43	86.74	61.52	49	25	7	0	0.245	ac4aef92fb2c17c0021c0e6840ead74de55a5bcb9f85f7f71cf94ffcc71cabbc	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	95.36	43.76	57.89	59.29	59.29	85.8	57.57	86.14	57.59	55	28	10	0	0.279	476f00a240332e552a2a5a883df156216a4c3328c0cd49334d10b5c90fe684a3	95.36	43.76	57.89	59.29	59.29	85.8	57.57	86.14	57.59	55	28	10	0	0.278	476f00a240332e552a2a5a883df156216a4c3328c0cd49334d10b5c90fe684a3	87.42	47.22	60.53	61.88	61.88	86.65	62.25	86.64	61.94	39	20	9	0	0.278	2307bf527dafe402279b4dafff2926a2f68bba322226d8a9d6831ac52a2187b5	87.42	47.22	60.53	61.88	61.88	86.65	62.25	86.64	61.94	39	20	9	0	0.267	2307bf527dafe402279b4dafff2926a2f68bba322226d8a9d6831ac52a2187b5	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	94.7	32.95	50.0	50.42	50.42	83.13	52.13	83.08	51.05	65	33	9	0	0.292	f82c651a098b0768c2ce795bfa686bf1db9e9240124a247bd65ab36298c73bcb	94.7	32.95	50.0	50.42	50.42	83.13	52.13	83.08	51.05	65	33	9	0	0.284	f82c651a098b0768c2ce795bfa686bf1db9e9240124a247bd65ab36298c73bcb	84.11	36.39	52.63	52.75	52.75	84.0	56.73	83.96	53.82	45	23	7	0	0.262	24bb420159fb21dd05ba2afae2eb1f265667820f6b0568f7185b706906425e41	84.11	36.39	52.63	52.75	52.75	84.0	56.73	83.96	53.82	45	23	7	0	0.265	24bb420159fb21dd05ba2afae2eb1f265667820f6b0568f7185b706906425e41	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	92.72	56.89	67.76	69.65	69.65	89.01	69.42	89.14	69.15	63	32	7	0	0.206	3c75baa546bdb03d93c89006fb9298cc080da06e9e54221305a70d8a5d3ac742	92.72	56.89	67.76	69.65	69.65	89.01	69.42	89.14	69.15	63	32	7	0	0.204	3c75baa546bdb03d93c89006fb9298cc080da06e9e54221305a70d8a5d3ac742	85.43	56.84	67.76	69.21	69.21	89.02	69.98	89.15	69.02	43	22	6	0	0.2	6e93a7fff9dfac2ccbfbe6535dc1587d635087560c8e91ec8219487b8cf8442f	85.43	56.84	67.76	69.21	69.21	89.02	69.98	89.15	69.02	43	22	6	0	0.196	6e93a7fff9dfac2ccbfbe6535dc1587d635087560c8e91ec8219487b8cf8442f	
1	1	stump_with_memoization	["TestOp_80"]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[360]	? (X_test size [((152, 360), (152, 360, 0), nothing)])	96.69	43.57	57.89	58.52	58.52	85.77	58.82	85.99	58.02	31	16	7	0	3.377	87bd37e868f63f35434ebe094ea61d9940d917d93c2780bae9df3cbb6e33f51f	96.69	43.57	57.89	58.52	58.52	85.77	58.82	85.99	58.02	31	16	7	0	3.12	87bd37e868f63f35434ebe094ea61d9940d917d93c2780bae9df3cbb6e33f51f	93.38	43.57	57.89	58.41	58.41	85.79	58.42	85.93	58.1	29	15	7	0	3.354	f9e711ff63076961812d0a61d77c0ae62784baeff046438c2e6c857b067adb52	93.38	43.57	57.89	58.41	58.41	85.79	58.42	85.93	58.1	29	15	7	0	3.305	f9e711ff63076961812d0a61d77c0ae62784baeff046438c2e6c857b067adb52	
2	2	stump_with_memoization	["TestOp_80"]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[360]	? (X_test size [((152, 360), (152, 360, 0), nothing)])	99.34	55.22	66.45	68.09	68.09	88.66	67.77	88.75	67.63	33	17	6	0	3.052	20f218abaec7b77c0ee4a39cc50394d30cc6b395c9c54725f68902ffe5e1d2f3	99.34	55.22	66.45	68.09	68.09	88.66	67.77	88.75	67.63	33	17	6	0	2.859	20f218abaec7b77c0ee4a39cc50394d30cc6b395c9c54725f68902ffe5e1d2f3	92.72	54.27	65.79	67.24	67.24	88.41	67.45	88.67	66.33	29	15	5	0	2.996	b34ace85f42e045f745966a9e5abbd8dc450af33804ed26c0b4f461681cd8ca0	92.72	54.27	65.79	67.24	67.24	88.41	67.45	88.67	66.33	29	15	5	0	2.896	b34ace85f42e045f745966a9e5abbd8dc450af33804ed26c0b4f461681cd8ca0	
3	3	stump_with_memoization	["TestOp_80"]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[360]	? (X_test size [((152, 360), (152, 360, 0), nothing)])	98.01	62.11	71.71	72.27	72.27	90.42	73.44	90.44	72.58	31	16	6	0	3.207	c3695bec9ec7cbdc95988e90dfe36c67dbcafa54046e3ef89bc7e9c0e600d539	98.01	62.11	71.71	72.27	72.27	90.42	73.44	90.44	72.58	31	16	6	0	3.27	c3695bec9ec7cbdc95988e90dfe36c67dbcafa54046e3ef89bc7e9c0e600d539	94.04	64.78	73.68	74.37	74.37	91.1	74.93	91.13	74.43	27	14	6	0	3.023	d31ea3af73a528a86367ad8887456b2ac480f319e4f4ae0f727eb51d3825870c	94.04	64.78	73.68	74.37	74.37	91.1	74.93	91.13	74.43	27	14	6	0	3.184	d31ea3af73a528a86367ad8887456b2ac480f319e4f4ae0f727eb51d3825870c	
4	4	stump_with_memoization	["TestOp_80"]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[360]	? (X_test size [((152, 360), (152, 360, 0), nothing)])	96.69	46.35	59.87	61.26	61.26	86.43	60.7	86.55	60.69	37	19	6	0	3.011	a381d1186d84254cafca3a2f2729d2a5bc2d4f5733a47878479a1129aff96f1b	96.69	46.35	59.87	61.26	61.26	86.43	60.7	86.55	60.69	37	19	6	0	3.053	a381d1186d84254cafca3a2f2729d2a5bc2d4f5733a47878479a1129aff96f1b	88.74	50.62	63.16	64.47	64.47	87.46	65.11	87.5	64.61	27	14	6	0	3.054	b4fe4a349e4910afd13120f0b6f761cc2d71ad4ab91f29c053d3c6ca02e08e62	88.74	50.62	63.16	64.47	64.47	87.46	65.11	87.5	64.61	27	14	6	0	3.073	b4fe4a349e4910afd13120f0b6f761cc2d71ad4ab91f29c053d3c6ca02e08e62	
