Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
1	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	4.76	52.38	45.24	59.52	52.78	52.08	48.72	79	0.5038095238095238	0.4316666666666667	1798.062	e29ad61b7315e7be6a6835eef06f0c62089c9ff4826279d4c97ae3fafc2c3e99	9.52	54.76	54.76	54.76	54.76	54.76	54.76	29	0.5038095238095238	0.4316666666666667	46.603	074075a4afdf44a23bd51380e245a2c2a7524d0a786ac68356c793708f25a7bf	-2.38	48.81	45.24	52.38	48.72	48.89	46.91	71	0.5038095238095238	0.4316666666666667	98.056	bce251041775486427bfe78134943f1fa15ae03147fbf3eaddca551271511f07	9.52	54.76	54.76	54.76	54.76	54.76	54.76	29	0.5038095238095238	0.4316666666666667	47.322	074075a4afdf44a23bd51380e245a2c2a7524d0a786ac68356c793708f25a7bf	
2	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	47.62	47.62	47.62	47.62	47.62	75	0.5547619047619048	0.4708333333333333	2163.52	7b8a51cf7a902a6ed5c886e97221e6401e3e87f0d2f34ec74f60c91d0615b897	7.14	53.57	50.0	57.14	53.85	53.33	51.85	35	0.6223809523809524	0.5391666666666666	322.345	aec92e1495e598b0c8b9191534858b5322138a866297fab0369ead65e9dd7ba3	2.38	51.19	52.38	50.0	51.16	51.22	51.76	65	0.5547619047619048	0.4708333333333333	334.577	a61c18328811af650436a8c4da8f8f155821faff2317acfab40f47a1f657d246	7.14	53.57	50.0	57.14	53.85	53.33	51.85	35	0.6223809523809524	0.5391666666666666	319.412	aec92e1495e598b0c8b9191534858b5322138a866297fab0369ead65e9dd7ba3	
3	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	11.9	55.95	57.14	54.76	55.81	56.1	56.47	69	-Inf	-Inf	4210.861	77a69bdd42ac9743908b0dcdec1ed5d9fc41066a4fdff9141364994564f9dee4	4.76	52.38	54.76	50.0	52.27	52.5	53.49	29	0.7325396825396826	0.6152777777777777	382.813	12a623efee5840626f5492e49b6d5717eedfa9f49b5f497b5d26208a808db682	16.67	58.33	59.52	57.14	58.14	58.54	58.82	65	-Inf	-Inf	387.035	7de0c2e5a1a038d5b9681bac9a7eff1dce4613f113bf2da592a49e78beaa3200	4.76	52.38	54.76	50.0	52.27	52.5	53.49	29	0.7325396825396826	0.6152777777777777	367.781	12a623efee5840626f5492e49b6d5717eedfa9f49b5f497b5d26208a808db682	
4	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	14.29	57.14	66.67	47.62	56.0	58.82	60.87	77	-Inf	-Inf	604.162	8704337c358abcc142963961dfa5957067c003a24b8f6759c6e4d52d4c836d87	16.67	58.33	71.43	45.24	56.6	61.29	63.16	47	-Inf	-Inf	117.124	dd7419f1f1c9869b607d0ffb95e01c3c5f07bf36c019eeb67bf462577d5416ca	2.38	51.19	57.14	45.24	51.06	51.35	53.93	71	-Inf	-Inf	120.698	d14befe95fccd1ff2330c6c81e3dedaa792dc31b48fd5d8cfd7c5b7be9e42a39	9.52	54.76	64.29	45.24	54.0	55.88	58.7	49	-Inf	-Inf	116.321	c2cdc17c21197718a1aae8aa9d9d89c47fb335632655e8303c6277a32a384d37	
5	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-2.38	48.81	45.24	52.38	48.72	48.89	46.91	81	0.5038095238095238	0.4316666666666667	1831.403	df71921968a616d7e5a4f49835644d8f89e7bcdb93903d09158e57d39da508bd	14.29	57.14	54.76	59.52	57.5	56.82	56.1	27	0.6080086580086581	0.518560606060606	674.622	1c2a7215f426db4e7f047184c292e048e59b898d20cb3a37f05f2dbd9b0f053c	-2.38	48.81	47.62	50.0	48.78	48.84	48.19	69	0.5038095238095238	0.4316666666666667	708.196	60dc065aa224c2987e98137fc2c550e40cffd7b0b3a3a44baeb1ef618c0d2d76	14.29	57.14	54.76	59.52	57.5	56.82	56.1	27	0.6080086580086581	0.518560606060606	676.123	1c2a7215f426db4e7f047184c292e048e59b898d20cb3a37f05f2dbd9b0f053c	
6	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-7.14	46.43	47.62	45.24	46.51	46.34	47.06	77	-Inf	-Inf	734.099	cb00ad9301eb51fe60e200469df6a259cba70c4ae650cf5fbd951e533fdbf726	7.14	53.57	59.52	47.62	53.19	54.05	56.18	37	0.550501253132832	0.48969298245614035	174.849	0a70fc5dfb7cd7203859adafe74f1977054366eac1ce1fd8cd727a2733879715	-4.76	47.62	47.62	47.62	47.62	47.62	47.62	71	-Inf	-Inf	182.867	feb1bd1a77125273198b007117d2a6dd3149a9647ec207d18b0aa27bfe2ed191	7.14	53.57	59.52	47.62	53.19	54.05	56.18	37	0.550501253132832	0.48969298245614035	175.509	0a70fc5dfb7cd7203859adafe74f1977054366eac1ce1fd8cd727a2733879715	
7	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	19.05	59.52	57.14	61.9	60.0	59.09	58.54	85	0.5547619047619048	0.4708333333333333	856.276	74336be5b08e3e6b02b4205528b29aad9ef14540f0dfad43d48e62aff3978645	14.29	57.14	54.76	59.52	57.5	56.82	56.1	55	0.5547619047619048	0.4708333333333333	224.247	d5b148ecb12bf558f524cb01ede652757017e8689ec74ddd3c669a0d2b608277	11.9	55.95	54.76	57.14	56.1	55.81	55.42	77	0.5547619047619048	0.4708333333333333	235.565	34834dafe60adf1f1d7f6aacf06901dd5306f7939b9d6b79677fa7c8b1d29334	11.9	55.95	54.76	57.14	56.1	55.81	55.42	55	0.5547619047619048	0.4708333333333333	223.215	a54d523583c6fe3559f34d9b3dc70547b548c45c19a710203f2147492973efcf	
8	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	38.1	57.14	47.06	48.0	42.11	79	-Inf	-Inf	939.059	d4ebcb7ae58ffca43cdd9edcdd13db1403d9832a5667e4c9350ad2cc12a19287	-4.76	47.62	42.86	52.38	47.37	47.83	45.0	33	0.5847985347985348	0.5041666666666667	395.509	3960f9504fd26f1318fd5c915c7c6ad50099d2d547c8ef4fc4ee11f7131dd2d3	-4.76	47.62	38.1	57.14	47.06	48.0	42.11	73	-Inf	-Inf	410.146	6db1eaf95875c74aeb1f9448d34bc1fc5f5b3b97585e05ac759d4a2aabae70e2	-4.76	47.62	42.86	52.38	47.37	47.83	45.0	33	0.5847985347985348	0.5041666666666667	389.636	3960f9504fd26f1318fd5c915c7c6ad50099d2d547c8ef4fc4ee11f7131dd2d3	
9	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	40.48	54.76	47.22	47.92	43.59	79	-Inf	-Inf	392.192	c81e238807de9fc56381e77cabbb17a920faa8fc5fc1db9e266e068d730038b6	2.38	51.19	54.76	47.62	51.11	51.28	52.87	27	0.5581232492997199	0.491421568627451	234.327	b0d6d4839e9bc05ecc3f809a7a299428bd1a6e546ec26f02b368b8437c9bda7c	4.76	52.38	47.62	57.14	52.63	52.17	50.0	71	-Inf	-Inf	245.652	c61a36d61e657783d495d092686dcc87631015711a00ea63ad622e36136b3334	2.38	51.19	54.76	47.62	51.11	51.28	52.87	27	0.5581232492997199	0.491421568627451	231.315	b0d6d4839e9bc05ecc3f809a7a299428bd1a6e546ec26f02b368b8437c9bda7c	
10	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	4.76	52.38	45.24	59.52	52.78	52.08	48.72	79	-Inf	-Inf	633.15	bb9b763dda349410d5b3a3b1e7c19dfeda6fc8fdb0d5087f42241cce9d81ab1b	2.38	51.19	57.14	45.24	51.06	51.35	53.93	41	0.5352813852813854	0.459469696969697	187.34	1d8ba009186adba2bf8f19924d478b190ef019dad71419f57dfddd92cdeb8315	7.14	53.57	40.48	66.67	54.84	52.83	46.58	71	-Inf	-Inf	203.379	f29e7143cba1ccacc6dee5dd65dcb6d3cc1a33d8618e881a5ca94a499991f6fa	2.38	51.19	57.14	45.24	51.06	51.35	53.93	41	0.5352813852813854	0.459469696969697	187.113	0166863d056b6286e02466d106394e1161044d2a0f8866fbf039ad935cfef428	
1	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	73.21	75.0	75.0	98.22	79.04	98.23	75.18	107	-Inf	-Inf	130.431	c14fae662ae0235aa4601653f0237b621964e7627b0b6f7dca8bb97f2d252a73	73.2	75.0	74.67	98.21	78.98	98.22	75.22	83	-Inf	-Inf	6.47	918eeaea8b35ab91df86c4465d718446724c3a04d898b08594e4c8c73e90a854	68.74	70.83	71.0	97.92	76.72	97.94	70.54	87	-Inf	-Inf	6.806	66aa20ce626e3adb314627a23938dacaa4d1874d6a010fec4d1c2669441679c0	68.73	70.83	70.67	97.91	75.61	97.93	71.22	69	-Inf	-Inf	6.289	a236f0c3315821c17113db13b42a5de1019ac04804036a4860667e03715bc1a2	
2	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	62.79	65.28	64.67	97.52	68.42	97.56	62.63	113	-Inf	-Inf	43.87	1561885abc62c09e69d4dfd681c9d488f97c06b49229502ae4861db29474b349	62.78	65.28	64.33	97.52	64.84	97.59	60.73	83	-Inf	-Inf	6.898	90f5723f2aaab9fb23485595063d00fdf683c802170d59868a00c391b2f91309	59.79	62.5	61.33	97.32	64.85	97.36	59.95	83	-Inf	-Inf	6.677	b7c1ce782f53c4b1c90329a39268ee8b9f1ee1eba693a7edf37e8c3ea25d4055	61.28	63.89	62.67	97.42	66.18	97.47	60.63	67	-Inf	-Inf	6.621	c13ca3050c7ea85d36dd16b1bf457d65302f86ab5522aaa825e516d8aa3c48ce	
3	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	53.83	56.94	55.67	96.93	51.59	96.98	51.79	113	-Inf	-Inf	17.345	9c59ab04ec774412bf0abdd3fd46c1248ae6593e34657c85da3bbaf16e647e09	58.29	61.11	59.67	97.22	56.01	97.27	56.3	77	-Inf	-Inf	6.217	22cc78289137778f48d10da8f7f0bc296dec47b830a2b821fe76462818be6f34	55.33	58.33	57.0	97.03	57.45	97.06	54.88	85	-Inf	-Inf	8.466	4b0f87fb976912bb2dc2a07bd86d9d7e2613383687f0102e3bf760e143f95e11	55.33	58.33	57.0	97.03	57.45	97.06	54.88	69	-Inf	-Inf	6.055	429a65ae1cff28a02747272dcc2919122618cdd85b1b6e274d0b948af80ff340	
4	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	65.75	68.06	66.67	97.72	69.07	97.76	65.34	105	-Inf	-Inf	24.635	7a3809734910b2b6aa209d34ef1dc62a2390019a0bc3669a6eca1f73ce5f2972	64.26	66.67	65.33	97.62	67.16	97.66	64.01	83	-Inf	-Inf	5.641	1fbf3236657072c286417ebc85c03e2265cf31fc5c1eb9c44f060c8ea620f59d	64.27	66.67	65.67	97.62	70.04	97.64	65.48	85	-Inf	-Inf	5.929	a427f6c3aa46bb17f19673724325c2e49f086b79aadf2f8184f159cf752ef688	61.28	63.89	62.67	97.42	64.14	97.46	61.22	71	-Inf	-Inf	5.57	37974c9f1fce5e74ded84e2050d42b9c7120eefb5f0b3de160a1e58a611ceca6	
5	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	67.26	69.44	69.33	97.82	72.23	97.85	68.42	111	-Inf	-Inf	15.413	9459764250589f3c2488f4f09445791054f41e616d90bb4936466f5fee4fd321	64.26	66.67	66.0	97.62	70.69	97.65	65.74	73	-Inf	-Inf	6.63	15514bc1414ccedd9f2be3e9b59f6b4fdcd6925f53567070c631f5e740416015	67.24	69.44	68.67	97.82	71.17	97.84	68.17	91	-Inf	-Inf	7.667	31b634a4b239863479a7d123c7e8b16681bb8545f5d80b76253ebcaf1477aadd	65.74	68.06	67.33	97.72	70.09	97.74	66.84	67	-Inf	-Inf	6.834	22fbb2d6d56e11e0876300fa4052c39ea23c6edd874746e352d1b6d4ee3fe515	
6	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	61.31	63.89	63.67	97.42	63.22	97.46	61.47	107	-Inf	-Inf	9.652	654036398bf1cbf5c7001fa720c9351f6db4cda1a31ebcbe4af311a4adec61a8	59.84	62.5	62.33	97.33	60.67	97.39	57.99	75	-Inf	-Inf	7.263	edb878f7bf2973b5059e3083cddd6150f198a49ea8036e448df04966787d270c	70.23	72.22	71.67	98.02	73.72	98.05	70.43	87	-Inf	-Inf	7.098	0e6993d6297f8a8abb07809216a4d3c13f9dc6c7f300aa4e8f031544dd3a743b	70.23	72.22	71.67	98.02	72.13	98.07	69.31	67	-Inf	-Inf	6.923	0812643ee98099437b12ba838e68c6c52a3ad6cc2f26b22be770d9bc0ae74d9c	
7	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	76.2	77.78	78.0	98.42	82.26	98.44	77.16	105	-Inf	-Inf	12.817	ee2f0b84e738235edb10f3a7d2c8c74a98fd16c386f449c65b8cb878f96e4215	73.22	75.0	75.33	98.22	81.38	98.24	74.72	73	-Inf	-Inf	5.909	69c3ee11d385deb32c09c5cacb8633552a262f5e5a49efb456b1bf5d86deccf4	61.31	63.89	64.33	97.42	NaN	97.47	62.75	81	-Inf	-Inf	6.36	d3e417c85f3f27310c5b3a80da39c9dcaf2e2b84c68054f7c7482b50b94a9f60	61.31	63.89	64.33	97.42	NaN	97.47	62.75	63	-Inf	-Inf	5.844	8bf3727d3f7a22345d5de158a73a413f40762f4c0cb61551f1803d46ab75f344	
8	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	62.81	65.28	65.67	97.52	61.22	97.57	61.99	107	0.5222222222222223	0.44513888888888886	9.229	8b2d1d0d74ae49c09f1bfaff6081f44cc2f59130cff129bf5ac0dc6c5a04fe65	64.26	66.67	66.67	97.62	68.11	97.66	64.79	73	0.5222222222222223	0.44513888888888886	6.951	1778d95b26c95e9b5ffb0fdbc49a4c2814e6fd7d4ed48fca39131d5374f69add	59.83	62.5	62.67	97.33	66.33	97.36	60.68	91	0.5222222222222223	0.44513888888888886	6.889	af4ece9ffba25a35bc6526ef48b250bb3ea8deed8506d8c3809d43f574906a5a	59.8	62.5	62.33	97.32	62.64	97.35	60.6	67	0.5222222222222223	0.44513888888888886	6.635	4137d16cf05d57c32a73e565b5931c21e50fdadf66409f1b46aa1c5fcb18a422	
9	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	52.4	55.56	55.67	96.83	54.83	96.88	52.96	113	-Inf	-Inf	9.501	911a03e9b22345928ca9e1b65dec9fb51cd6136d13871b42eca321eda250bef9	47.86	51.39	50.33	96.53	NaN	96.58	47.57	71	-Inf	-Inf	5.732	c84486122e3a18504655c36646b6076f52bf91d0efc1c4bfae6a1cf37944aae7	40.46	44.44	43.0	96.04	NaN	96.09	41.16	91	-Inf	-Inf	6.217	b42eb96e0a57f459554128499d3bcea2cf8b163de789a7526d07a00abf53b713	46.37	50.0	48.67	96.43	NaN	96.48	46.36	61	-Inf	-Inf	5.625	468ea5cdbb325e4f64c41fcdfce8d4819670681a757a2f4baefb36153c963151	
10	stump_with_memoization	TestOp_80	Libras	(false,"interval")	missing	53.94	56.94	56.67	96.94	64.83	96.94	57.81	111	-Inf	-Inf	16.309	052f8a7eacff86aa1cf616a630bb95d5e35a4d75733ff2363ce1dbf15f94b302	55.4	58.33	58.0	97.03	63.8	97.04	58.5	75	-Inf	-Inf	5.936	a831f7d07c1381dc563dca17d453232f268eb2ade7b6e3ce361d12aa4cef4970	49.47	52.78	52.33	96.64	60.76	96.64	52.92	85	-Inf	-Inf	5.776	948ccb1db653bb0a5fe0239234da7c826d100c76b7554c22eef6e004bb910396	50.94	54.17	54.0	96.74	59.78	96.75	53.5	63	-Inf	-Inf	5.815	af4f54a7c2872b60b9c60a108930eb30f5e797ad3aba5359a04b2c97fc3337c0	
1	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	28.24	33.33	34.52	94.87	NaN	94.88	33.49	79	-Inf	-Inf	35.045	85ee912aaa5c72390d774b5f80247a9b13e888c6e9c2bc44a8217806fb9a51c7	25.53	30.77	32.14	94.68	NaN	94.69	30.71	65	-Inf	-Inf	3.512	c0019886624b721c2f9ca5c50118fff22b47d46097a12b92ed999da279529750	19.9	25.64	26.19	94.28	NaN	94.28	25.28	57	-Inf	-Inf	3.526	2b95d5c58cd5c3290597495e6a4d526e884be10d5ada68cb105eab9d100ea4f0	22.77	28.21	29.76	94.48	NaN	94.5	27.06	51	-Inf	-Inf	3.459	951b6932be97b7df4355f36b8f05d589870f75c93ba59e9b83cf7e9cea7cb999	
2	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	28.29	33.33	32.14	94.89	NaN	94.9	33.11	87	-Inf	-Inf	29.906	7cfe331248dd2a9e976db8b2a8e2526064e900fd7eed540166b967a0cd90bad9	25.42	30.77	29.76	94.68	NaN	94.72	28.8	65	-Inf	-Inf	3.708	7b7bf2af3ede47a0ee045ac74475b8fe508ae9f1f4eaa9ae5ffb85673c079cf1	22.5	28.21	26.19	94.47	32.86	94.48	26.58	57	-Inf	-Inf	3.755	da4a98dc75d90ce8d0e56d28f36cb493b39d61a5a7e4c0b78327afe874a45b44	22.44	28.21	26.19	94.47	NaN	94.47	26.11	47	-Inf	-Inf	3.633	83edf1ffd8fc3d48a58f6a4fc1b424c089dea282e33d6c1570278c269f1ccfb7	
3	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	6.29	12.82	13.1	93.31	NaN	93.35	9.4	99	-Inf	-Inf	31.595	83fded0adecf749fbaa85ddb9c00921c528fdc3b78c3d82f5d7b3cbe396653a6	6.29	12.82	13.1	93.31	NaN	93.35	9.33	81	-Inf	-Inf	4.862	8b545eb48dededd8289e6ac92579f5ecb801c0d02b324baf764572ddd423d701	6.42	12.82	13.1	93.32	NaN	93.35	10.03	63	-Inf	-Inf	4.87	bee53179575dd2b7e6945583152d0a3f4c2c2fec31ae1031f3a656bc15282a4a	6.42	12.82	13.1	93.32	NaN	93.35	10.03	61	-Inf	-Inf	4.796	ed9a418ed7b485807cbddd9cb338b80c8956b7d184c95cbefad6ba0b5a96632d	
4	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	3.87	10.26	10.71	93.14	NaN	93.1	10.61	99	-Inf	-Inf	36.162	8c35c6db5cfb4173e5a98ea3ae2352fd394037ef77ed773678ffbb8292083f8e	6.42	12.82	13.1	93.32	NaN	93.32	12.16	81	0.5056410256410256	0.4348717948717949	5.093	f97e6e48028cd7511ae02e0f59eb26fd75e547ba1a7854a088763ae4305dd9ce	9.17	15.38	16.67	93.51	16.37	93.54	15.03	63	-Inf	-Inf	5.179	afcd306dba4beacc25e772bcdfbc6fc8694d9af3b87416406a2fe176c7afa6c2	9.17	15.38	16.67	93.51	16.37	93.54	15.03	59	-Inf	-Inf	4.956	43af98fb26703c8351080bafc4a2026c1c521ae1d047782ebbe178d2847682f9	
5	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	17.37	23.08	22.62	94.11	NaN	94.09	23.59	91	-Inf	-Inf	30.25	27d3172011cb9a9aead132fbe318969b13fc5bb7e459f0eb69d0c438ae931d49	17.14	23.08	22.62	94.09	28.21	94.07	23.59	71	-Inf	-Inf	4.212	47b49b45082c9b9ba47f463406629b10c5df9da62e549f04b41b0ad1b7ce6d9f	22.83	28.21	28.57	94.49	40.71	94.49	29.8	59	-Inf	-Inf	4.187	dc8deb1eac31238c873d5d40d539063c3347c82bf242daacc16cfc5b48fd50fb	22.72	28.21	28.57	94.48	36.55	94.48	29.2	55	-Inf	-Inf	4.162	49f45bfa2f9a7cfdae4075154d7d281edaf3cabf172b8c27ab474986dd571ba2	
6	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	28.19	33.33	34.52	94.87	NaN	94.92	32.26	87	-Inf	-Inf	19.287	21ca3ccf7393fd8f32a3ccbf4d3e42ba2ff794d16bfaf92d82aac625de1d6454	25.42	30.77	32.14	94.67	NaN	94.73	28.93	71	-Inf	-Inf	3.842	6f8b99deb165556e2d86a3287eda9788f3cb3b8b578ad3dbf74cc7a2fe7d7fd2	22.66	28.21	28.57	94.48	NaN	94.56	23.74	57	-Inf	-Inf	4.092	596c2914d857692c9d3be5146a2187f2d145ae46a0e1ae73db8f1cc705e95dd2	19.9	25.64	26.19	94.28	NaN	94.37	21.09	51	-Inf	-Inf	3.719	e3176ce0a26361afbdd0d4aa98949ee0f542047ae3ac6316993807452406a3e9	
7	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	33.76	38.46	39.29	95.27	38.69	95.3	36.8	89	-Inf	-Inf	23.224	fcdbaddc38b49fe97a542734acf90e5658b7e0a560afe657e78632dce7e59d43	33.76	38.46	39.29	95.27	41.9	95.3	37.65	73	-Inf	-Inf	3.255	6d15c163dc07c39952963fcddbc507b3261a48f58b0250b364c36453f303d4da	30.95	35.9	35.71	95.07	39.4	95.11	34.85	59	-Inf	-Inf	3.532	594c1eb891d61a1d62d3694419946a349472c7a8f3f029f1d83871fea46a0cb8	30.95	35.9	35.71	95.07	39.4	95.11	34.85	57	-Inf	-Inf	3.101	70d33cf782a768c949d6b2a2e5528b13bb92e0b9aefd8e6a82176c73fa6752f7	
8	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	25.48	30.77	30.95	94.68	36.43	94.7	30.17	93	-Inf	-Inf	15.897	70b192dac6d783ff3b381289f5cb2b44904c87f05c117933245d48c73e29d66b	25.58	30.77	30.95	94.69	35.83	94.71	29.9	75	-Inf	-Inf	3.611	1c0689ce9097460a37c5b78bc0d6f8fc55d02d7a3662254c1151f52f02736816	22.88	28.21	29.76	94.49	32.38	94.53	27.26	63	-Inf	-Inf	3.308	0cc3aefb05ef562b8d8797c48361832b5390be3c60253cfd67140184a418377b	22.88	28.21	29.76	94.49	32.38	94.53	27.26	55	-Inf	-Inf	3.248	86522fcd3d3991092ce067ca65660288d4ea07860e9de40df4c8d1bbbad1ec4e	
9	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	25.27	30.77	32.14	94.65	NaN	94.68	32.72	87	0.5056410256410256	0.4348717948717949	25.989	b126787702866d5e48957fe9dd5ef6782e09f8dbf5cc595129c0f57c2518776c	28.03	33.33	34.52	94.85	NaN	94.86	36.5	73	0.5056410256410256	0.4348717948717949	3.767	c206420a2a02da6df16ee9a8d4604ff09e746ef210685843401d1cbc4248016b	19.84	25.64	26.19	94.27	NaN	94.31	23.84	55	0.5056410256410256	0.4348717948717949	3.455	3282f1c1c58aef6598e36e0eb14fe7a2199f1db164e60603751e85a746bf31a3	19.84	25.64	26.19	94.27	NaN	94.31	23.84	55	0.5056410256410256	0.4348717948717949	3.447	3282f1c1c58aef6598e36e0eb14fe7a2199f1db164e60603751e85a746bf31a3	
10	stump_with_memoization	TestOp_80	LSST	(false,"interval")	missing	19.9	25.64	27.38	94.27	25.48	94.35	22.73	93	-Inf	-Inf	21.929	2ad2a903f77bf3aedd59d3d778978c421740e290d350dcddb6a484965d1577c1	19.9	25.64	27.38	94.27	NaN	94.36	22.41	71	-Inf	-Inf	4.064	e579261a30e8a414e143cc84ac33fedb8bb749e923c16c31f0b9d47d48b5960f	20.07	25.64	26.19	94.29	NaN	94.35	21.99	59	-Inf	-Inf	4.643	3894110b337c8701eccf4120c913a9be718cda3a6cf3ad71fa5ec6352031373a	20.07	25.64	26.19	94.29	NaN	94.35	21.99	49	-Inf	-Inf	3.961	d110955edc36653df8125120e79eb1fa02208439f05aa35999138c0b15a20ef9	
1	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	missing	86.67	88.89	88.89	97.78	90.56	97.83	88.94	25	0.8333333333333334	0.7083333333333334	725.799	5b26c36c84fb2d1c21593f959b2463e2f8cf50e1cb303e97ad6baa9c613d8a21	80.0	83.33	83.33	96.67	84.29	96.7	83.35	11	0.8333333333333334	0.7083333333333334	31.836	208dca55cabcfbcb050b4a9b8863227b8da75c9e77b666464c2f0b53193d68b0	85.0	87.5	87.5	97.5	89.65	97.58	87.46	21	0.8333333333333334	0.7083333333333334	37.438	0edbaf0da71e24a553d0a10d754732d327c1912c5ae306d02a9f6e0ead2210ab	80.0	83.33	83.33	96.67	84.29	96.7	83.35	11	0.8333333333333334	0.7083333333333334	31.8	208dca55cabcfbcb050b4a9b8863227b8da75c9e77b666464c2f0b53193d68b0	
2	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	missing	86.67	88.89	88.89	97.78	89.86	97.83	88.76	25	0.8333333333333334	0.7083333333333334	287.15	8535972ac21335caf572137cdf2bfb9758c6bcd41f5d9f6d37faf08db19a1819	90.0	91.67	91.67	98.33	91.97	98.36	91.59	15	0.8305555555555556	0.7034722222222223	43.237	60443d27f15f073204eedffd0cd878164b36ec8da44efb108053b97fceeddec2	88.33	90.28	90.28	98.06	90.92	98.09	90.22	23	0.8333333333333334	0.7083333333333334	44.115	38156f6c7060e890ad1a2450ef486c5fde1441e0530837e5a1092976a9658d36	90.0	91.67	91.67	98.33	91.97	98.36	91.59	15	0.8305555555555556	0.7034722222222223	42.708	60443d27f15f073204eedffd0cd878164b36ec8da44efb108053b97fceeddec2	
