Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.694)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 5.899)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 156.608)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.025)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 48.919)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 18.951)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 82.948)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.021)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 155.607)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.075)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 195.918)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.003)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 264.456)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.097)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.606)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 43.585)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 55.819)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.909)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 81.341)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 14.891)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.654)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.055)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 153.03)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.443)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 49.467)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 18.961)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 82.939)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.255)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 155.143)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.408)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 189.244)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 33.87)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 261.777)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.526)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.0)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 43.674)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 55.974)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.873)	
