,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,9978,180643680,5.41 GiB,10396,187902234,5.42 GiB
,,,,,,,,,9584,169801582,5.15 GiB,9359,175425583,5.12 GiB
,,,,,,,,,9752,185743007,5.60 GiB,10183,192421658,5.58 GiB
,,,,,,,,,9753,170632392,5.16 GiB,9628,175430650,5.10 GiB
,,,,,,,,,8775,166136736,4.85 GiB,9591,171978338,4.83 GiB
,,,,,,,,,5697,53096888,1.35 GiB,5754,55427393,1.37 GiB
,,,,,,,,,2462,21154217,531.44 MiB,2305,21930110,537.82 MiB
,,,,,,,,,10177,177759505,5.37 GiB,9805,184637885,5.37 GiB
,,,,,,,,,12149,209741315,6.29 GiB,11204,216633538,6.25 GiB
,,,,,,,,,10951,188247960,5.63 GiB,10623,194410715,5.60 GiB
,,,,,,,,,9499,179088823,5.44 GiB,9924,184304491,5.38 GiB
,,,,,,,,,10775,196265057,5.92 GiB,10736,202995594,5.89 GiB
,,,,,,,,,2018,24833196,652.17 MiB,2025,25612496,657.20 MiB
,,,,,,,,,1552,13292238,339.32 MiB,1451,13685189,340.80 MiB
,,,,,,,,,9181,165982664,5.12 GiB,9423,171406094,5.07 GiB
,,,,,,,,,8809,172130191,5.17 GiB,8265,176787392,5.10 GiB
,,,,,,,,,10316,185435765,5.66 GiB,9652,190446536,5.58 GiB
,,,,,,,,,9478,169313362,5.28 GiB,8630,173477815,5.20 GiB
,,,,,,,,,9310,166030683,5.05 GiB,8943,170279332,4.97 GiB
,,,,,,,,,3278,31571267,830.42 MiB,3491,32731541,839.93 MiB
,,,,,,,,,1229,10940267,282.65 MiB,1146,11286268,283.17 MiB
,,,,,,,,,9567,163507494,4.99 GiB,8410,167779283,4.91 GiB
,,,,,,,,,10397,178813554,5.41 GiB,9678,183957809,5.35 GiB
,,,,,,,,,9729,173659996,5.26 GiB,9703,178791994,5.20 GiB
,,,,,,,,,8363,170208439,5.24 GiB,9578,174943336,5.17 GiB
,,,,,,,,,11737,177633959,5.39 GiB,23960,183198558,5.34 GiB
,,,,,,,,,2823,31554394,822.40 MiB,2740,32655415,831.57 MiB
,,,,,,,,,2462,20666535,532.44 MiB,2523,21342937,537.12 MiB
,,,,,,,,,12339,202352500,5.96 GiB,12706,209255611,5.94 GiB
,,,,,,,,,11869,211593708,6.24 GiB,11681,218136109,6.20 GiB
,,,,,,,,,9624,174844643,5.17 GiB,9519,179551900,5.11 GiB
,,,,,,,,,10068,170682427,5.17 GiB,9566,174585232,5.07 GiB
,,,,,,,,,8483,157553608,4.72 GiB,7652,161099204,4.64 GiB
,,,,,,,,,"Iteration ""TestOp_80,2,1,4,false,stump,Any[],1,(10,45,30)""...",201348673 allocations,6.48 GiB,"Iteration ""TestOp_80,2,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,,,,,,,,,1771,201348673,6.48 GiB,59.949,4184993,215.84 MiB
,,,,,,,,,1259,17025334,439.81 MiB,1284,17531413,445.24 MiB
,,,,,,,,,1134,12745989,322.39 MiB,1153,13102566,325.76 MiB
,,,,,,,,,1246,66083607,1.85 GiB,1299,68612517,1.87 GiB
,,,,,,,,,1424,71055135,1.96 GiB,1440,73018882,1.96 GiB
,,,,,,,,,1281,71366538,1.99 GiB,1299,73117917,1.97 GiB
,,,,,,,,,1401,71690754,2.00 GiB,1424,73395620,1.98 GiB
,,,,,,,,,2542,75453870,2.09 GiB,2476,77206753,2.07 GiB
,,,,,,,,,972.706,13309863,349.01 MiB,998.404,13674888,352.11 MiB
,,,,,,,,,709.702,7125965,180.11 MiB,717.771,7313696,181.24 MiB
,,,,,,,,,1377,64442448,1.83 GiB,1425,66835491,1.84 GiB
,,,,,,,,,1157,65529318,1.87 GiB,1195,67264083,1.85 GiB
,,,,,,,,,1252,62536415,1.79 GiB,1296,63849328,1.77 GiB
,,,,,,,,,1463,64380193,1.82 GiB,1492,65827469,1.80 GiB
,,,,,,,,,1496,69216017,1.97 GiB,1499,70870049,1.95 GiB
,,,,,,,,,1788,19515215,483.27 MiB,1825,20089011,489.59 MiB
,,,,,,,,,757.429,6907784,161.61 MiB,739.976,7091176,163.17 MiB
,,,,,,,,,1184,70343388,1.99 GiB,1201,72430818,1.98 GiB
,,,,,,,,,1489,72341962,2.02 GiB,1524,74209332,2.01 GiB
,,,,,,,,,1287,74870533,2.06 GiB,1295,76739294,2.04 GiB
,,,,,,,,,1294,73055110,2.03 GiB,1290,74818145,2.02 GiB
,,,,,,,,,1063,62304492,1.75 GiB,1078,63634576,1.73 GiB
,,,,,,,,,1630,20056645,498.51 MiB,1633,20650767,505.52 MiB
,,,,,,,,,1364,12406126,289.71 MiB,1414,12748876,293.70 MiB
,,,,,,,,,1547,75857235,2.10 GiB,1588,78233399,2.10 GiB
,,,,,,,,,1111,67838652,1.92 GiB,1130,69296864,1.89 GiB
,,,,,,,,,1228,68985788,1.92 GiB,1277,70497821,1.90 GiB
,,,,,,,,,1409,66764438,1.89 GiB,1439,68192801,1.86 GiB
,,,,,,,,,1265,69358156,1.95 GiB,1289,70916278,1.93 GiB
,,,,,,,,,2655,27206988,672.83 MiB,2750,28100079,683.55 MiB
,,,,,,,,,1937,17384112,410.92 MiB,1879,17892953,416.90 MiB
,,,,,,,,,1101,61171104,1.75 GiB,1624,62425323,1.72 GiB
,,,,,,,,,1508,73761867,2.06 GiB,1337,74463132,2.03 GiB
,,,,,,,,,1371,75557811,2.07 GiB,1564,77388982,2.06 GiB
,,,,,,,,,1148,71819955,2.00 GiB,1116,69806429,1.92 GiB
